"state","mean_airvel(Km/h)"
"Alabama",601.633448475689
"Alaska",632.148857637078
"Arizona",645.78293856606
"Arkansas",622.041631881602
"California",652.868451738662
"Colorado",696.844542626321
"Connecticut",690.81283157472
"District of Columbia",659.869274465036
"Florida",697.08953667545
"Georgia",639.809912661201
"Hawaii",666.410537344105
"Idaho",670.56354293909
"Illinois",648.960589940739
"Indiana",617.013785793484
"Iowa",605.222667503195
"Kansas",643.803347988633
"Kentucky",578.979579466003
"Louisiana",663.540470280256
"Maine",715.104948020003
"Maryland",656.628330963457
"Massachusetts",677.764555829661
"Michigan",590.991462157924
"Minnesota",643.557001548594
"Mississippi",627.87704278195
"Missouri",634.610150143553
"Montana",655.092351067998
"Nebraska",666.44373854279
"Nevada",632.840741167571
"New Hampshire",657.374378914931
"New Jersey",695.047768416504
"New Mexico",681.37540636769
"New York",658.826345605814
"North Carolina",594.768499273895
"North Dakota",566.857558861194
"Ohio",634.298134616775
"Oklahoma",631.541919796141
"Oregon",678.121342517751
"Pennsylvania",620.242057804372
"Rhode Island",681.711885518448
"South Carolina",535.327425701159
"South Dakota",587.636391251698
"Tennessee",643.194087564953
"Texas",650.560919535199
"Utah",687.413718800857
"Vermont",653.578011594783
"Virginia",624.92951869752
"Washington",680.382415001064
"West Virginia",522.147128498476
"Wisconsin",594.570388252652
"Wyoming",630.040039337599
