"city","min","mean","max"
"Albany",-45,11.3235072376357,650
"Albuquerque",-53,11.5099663617914,675
"Allentown",-39,11.012351861125,298
"Amarillo",-24,13.7335052654202,490
"Anchorage",-53,14.2197125256674,674
"Asheville",-22,4.2589928057554,142
"Atlanta",-60,7.69077441077441,1026
"Augusta",-23,5.14094650205761,360
"Austin",-59,10.7121342512909,817
"Avoca",-28,16.3102264927934,444
"Barrow",-18,9.8705035971223,297
"Baton Rouge",-40,6.26758620689655,325
"Bethel",-18,15.3832271762208,298
"Billings",-42,12.2493988320165,280
"Binghamton",-24,9.89317889317889,285
"Birmingham",-43,7.36395651508192,559
"Bismarck",-30,6.57898498927806,471
"Blountville",-21,3.32708528584817,196
"Boise",-43,15.8849407783418,624
"Boston",-87,13.947033162182,1222
"Bozeman",-38,7.37540805223069,243
"Brownsville",-13,16.3703703703704,177
"Buffalo",-51,12.0817251866187,631
"Burbank",-37,13.4734407639511,316
"BWI Airport",-59,10.4228641602542,612
"Cedar Rapids",-30,12.170504044804,556
"Charleston",-50,7.43920914109642,295
"Charlotte",-50,6.70692126385527,561
"Chattanooga",-19,2.65470417070805,176
"Chicago",-72,15.5638251215286,1330
"Cincinnati",-43,5.77341995958689,672
"Cleveland",-65,8.02360749080288,699
"Colorado Springs",-36,12.7441608274942,654
"Columbia",-24,6.36757693974859,301
"Columbus",-47,10.2351734104046,452
"Cordova",-21,15.9513590844063,323
"Corpus Christi",-21,11.3869047619048,349
"Dallas",-67,7.01403368367376,1320
"Dayton",-36,10.1816048803379,443
"Daytona Beach",-36,8.206,297
"Deadhorse",-15,13.0412979351032,234
"Denver",-54,14.4312623378189,819
"Des Moines",-35,13.8248840803709,585
"Detroit",-59,5.64820359281437,1441
"Dillingham",-17,21.5513307984791,315
"Duluth",-23,6.9375,673
"Durango",-24,8.37606837606838,192
"Eagle",-51,16.7443082311734,929
"El Paso",-1298,10.7838809034908,361
"Elmira / Corning",-18,5.93146647015475,214
"Erie",-21,6.15116279069767,422
"Eugene",-27,20.7503635482307,303
"Fairbanks",-30,11.0052827235375,339
"Fargo",-29,5.91546840958606,239
"Fayetteville",-21,3.16556291390728,187
"Flint",-24,10.0860820595334,244
"Fort Lauderdale",-54,11.3613214182285,835
"Fort Myers",-989,9.56699490662139,460
"Fort Wayne",-24,4.64788732394366,151
"Fresno",-39,7.68715083798883,359
"Grand Forks",-32,6.17265469061876,348
"Grand Rapids",-37,10.427100759233,338
