"","2000-01-01","2000-01-02","2000-01-03","2000-01-04","2000-01-05","2000-01-06","2000-01-07","2000-01-08","2000-01-09","2000-01-10","2000-01-11","2000-01-12","2000-01-13","2000-01-14","2000-01-15","2000-01-16","2000-01-17","2000-01-18","2000-01-19","2000-01-20","2000-01-21","2000-01-22","2000-01-23","2000-01-24","2000-01-25","2000-01-26","2000-01-27","2000-01-28","2000-01-29","2000-01-30","2000-01-31","2000-02-01","2000-02-02","2000-02-03","2000-02-04","2000-02-05","2000-02-06","2000-02-07","2000-02-08","2000-02-09","2000-02-10","2000-02-11","2000-02-12","2000-02-13","2000-02-14","2000-02-15","2000-02-16","2000-02-17","2000-02-18","2000-02-19","2000-02-20","2000-02-21","2000-02-22","2000-02-23","2000-02-24","2000-02-25","2000-02-26","2000-02-27","2000-02-28","2000-02-29","2000-03-01","2000-03-02","2000-03-03","2000-03-04","2000-03-05","2000-03-06","2000-03-07","2000-03-08","2000-03-09","2000-03-10","2000-03-11","2000-03-12","2000-03-13","2000-03-14","2000-03-15","2000-03-16","2000-03-17","2000-03-18","2000-03-19","2000-03-20","2000-03-21","2000-03-22","2000-03-23","2000-03-24","2000-03-25","2000-03-26","2000-03-27","2000-03-28","2000-03-29","2000-03-30","2000-03-31","2000-04-01","2000-04-02","2000-04-03","2000-04-04","2000-04-05","2000-04-06","2000-04-07","2000-04-08","2000-04-09","2000-04-10","2000-04-11","2000-04-12","2000-04-13","2000-04-14","2000-04-15","2000-04-16","2000-04-17","2000-04-18","2000-04-19","2000-04-20","2000-04-21","2000-04-22","2000-04-23","2000-04-24","2000-04-25","2000-04-26","2000-04-27","2000-04-28","2000-04-29","2000-04-30","2000-05-01","2000-05-02","2000-05-03","2000-05-04","2000-05-05","2000-05-06","2000-05-07","2000-05-08","2000-05-09","2000-05-10","2000-05-11","2000-05-12","2000-05-13","2000-05-14","2000-05-15","2000-05-16","2000-05-17","2000-05-18","2000-05-19","2000-05-20","2000-05-21","2000-05-22","2000-05-23","2000-05-24","2000-05-25","2000-05-26","2000-05-27","2000-05-28","2000-05-29","2000-05-30","2000-05-31","2000-06-01","2000-06-02","2000-06-03","2000-06-04","2000-06-05","2000-06-06","2000-06-07","2000-06-08","2000-06-09","2000-06-10","2000-06-11","2000-06-12","2000-06-13","2000-06-14","2000-06-15","2000-06-16","2000-06-17","2000-06-18","2000-06-19","2000-06-20","2000-06-21","2000-06-22","2000-06-23","2000-06-24","2000-06-25","2000-06-26","2000-06-27","2000-06-28","2000-06-29","2000-06-30","2000-07-01","2000-07-02","2000-07-03","2000-07-04","2000-07-05","2000-07-06","2000-07-07","2000-07-08","2000-07-09","2000-07-10","2000-07-11","2000-07-12","2000-07-13","2000-07-14","2000-07-15","2000-07-16","2000-07-17","2000-07-18","2000-07-19","2000-07-20","2000-07-21","2000-07-22","2000-07-23","2000-07-24","2000-07-25","2000-07-26","2000-07-27","2000-07-28","2000-07-29","2000-07-30","2000-07-31","2000-08-01","2000-08-02","2000-08-03","2000-08-04","2000-08-05","2000-08-06","2000-08-07","2000-08-08","2000-08-09","2000-08-10","2000-08-11","2000-08-12","2000-08-13","2000-08-14","2000-08-15","2000-08-16","2000-08-17","2000-08-18","2000-08-19","2000-08-20","2000-08-21","2000-08-22","2000-08-23","2000-08-24","2000-08-25","2000-08-26","2000-08-27","2000-08-28","2000-08-29","2000-08-30","2000-08-31","2000-09-01","2000-09-02","2000-09-03","2000-09-04","2000-09-05","2000-09-06","2000-09-07","2000-09-08","2000-09-09","2000-09-10","2000-09-11","2000-09-12","2000-09-13","2000-09-14","2000-09-15","2000-09-16","2000-09-17","2000-09-18","2000-09-19","2000-09-20","2000-09-21","2000-09-22","2000-09-23","2000-09-24","2000-09-25","2000-09-26","2000-09-27","2000-09-28","2000-09-29","2000-09-30","2000-10-01","2000-10-02","2000-10-03","2000-10-04","2000-10-05","2000-10-06","2000-10-07","2000-10-08","2000-10-09","2000-10-10","2000-10-11","2000-10-12","2000-10-13","2000-10-14","2000-10-15","2000-10-16","2000-10-17","2000-10-18","2000-10-19","2000-10-20","2000-10-21","2000-10-22","2000-10-23","2000-10-24","2000-10-25","2000-10-26","2000-10-27","2000-10-28","2000-10-29","2000-10-30","2000-10-31","2000-11-01","2000-11-02","2000-11-03","2000-11-04","2000-11-05","2000-11-06","2000-11-07","2000-11-08","2000-11-09","2000-11-10","2000-11-11","2000-11-12","2000-11-13","2000-11-14","2000-11-15","2000-11-16","2000-11-17","2000-11-18","2000-11-19","2000-11-20","2000-11-21","2000-11-22","2000-11-23","2000-11-24","2000-11-25","2000-11-26","2000-11-27","2000-11-28","2000-11-29","2000-11-30","2000-12-01","2000-12-02","2000-12-03","2000-12-04","2000-12-05","2000-12-06","2000-12-07","2000-12-08","2000-12-09","2000-12-10","2000-12-11","2000-12-12","2000-12-13","2000-12-14","2000-12-15","2000-12-16","2000-12-17","2000-12-18","2000-12-19","2000-12-20","2000-12-21","2000-12-22","2000-12-23","2000-12-24","2000-12-25","2000-12-26","2000-12-27","2000-12-28","2000-12-29","2000-12-30","2000-12-31"
"Alabama",7,3,0,3,2,3,2,0,1,2,1,0,0,1,1,1,2,1,0,2,1,7,13,5,4,2,13,33,26,16,3,2,4,2,0,1,0,0,0,2,1,2,3,4,5,1,5,2,4,3,1,0,0,0,2,1,3,4,3,3,0,4,2,1,2,0,3,0,0,7,3,0,1,1,2,2,0,4,4,5,0,0,1,0,1,0,1,3,0,2,2,0,0,10,3,0,1,2,4,1,1,1,4,1,0,0,4,2,3,1,3,2,2,0,1,2,0,1,0,1,1,0,1,1,1,3,0,0,1,2,4,3,2,2,1,1,1,1,2,3,4,2,0,1,2,1,2,1,0,1,2,2,1,0,4,1,0,3,1,2,0,0,1,2,4,5,2,5,7,2,1,1,0,0,0,2,3,2,3,2,0,2,0,2,0,0,4,1,0,1,0,2,2,3,1,1,0,2,0,1,1,1,2,5,1,0,0,1,1,0,4,2,2,5,3,3,3,1,1,2,1,2,0,0,4,1,1,2,1,3,1,3,2,1,1,1,3,1,0,1,2,0,0,2,0,0,0,0,1,5,3,2,2,2,0,1,0,1,1,2,0,3,1,0,2,3,1,1,2,0,1,1,1,1,2,1,1,1,2,0,2,0,2,0,1,0,0,0,2,1,1,1,2,3,3,2,0,0,2,0,2,1,0,0,2,4,1,1,1,2,4,3,7,2,1,1,1,2,1,2,1,1,2,1,2,3,0,2,0,1,1,0,0,1,1,4,5,6,3,2,3,1,2,4,4,7,7,15,3,3,15,10,4,7,3,10,3,3,0,4,9,8,2,2,1,7
"Alaska",9,4,9,8,9,4,14,7,6,7,4,2,6,3,4,1,8,5,12,4,2,6,3,8,10,9,12,3,4,6,5,14,12,10,10,2,10,8,12,9,11,6,9,4,10,12,4,9,26,21,5,9,4,8,10,13,14,13,6,8,3,2,12,10,4,3,6,4,2,7,5,2,2,2,3,4,2,11,5,4,1,0,8,2,7,3,3,7,5,9,13,10,4,9,8,4,1,6,4,7,6,11,10,12,23,19,16,13,15,9,12,14,14,10,10,12,9,14,23,16,10,7,1,3,4,2,10,6,12,9,8,2,7,12,2,4,11,3,5,2,9,2,8,4,13,6,7,13,1,2,6,1,1,4,0,9,11,7,5,8,11,10,2,8,3,22,1,1,0,3,4,7,1,2,6,7,4,4,6,10,5,15,21,8,12,20,22,16,21,13,17,8,13,12,9,6,8,18,11,12,14,4,12,6,9,1,6,7,12,9,1,8,0,11,1,6,17,3,3,9,16,5,11,10,5,3,12,4,6,6,6,8,3,8,12,5,7,8,8,4,4,5,5,8,6,2,2,10,2,7,3,4,4,8,1,4,5,2,2,3,5,2,2,7,19,13,12,9,9,6,6,2,1,2,1,11,3,11,2,3,1,1,2,7,0,5,6,8,2,4,5,2,0,10,9,0,6,0,3,3,3,3,0,6,1,0,7,6,10,8,1,4,2,1,5,6,3,5,3,8,2,2,3,10,0,1,6,1,8,1,0,0,0,8,0,7,0,11,6,0,3,2,5,0,1,2,2,8,6,7,3,3,6,11,0,4,0,2,2,1,0,7,0,2,4,3
"Arizona",17,10,17,22,20,22,13,17,15,26,19,11,8,9,12,12,7,17,17,16,2,11,4,13,36,15,12,13,10,12,11,17,23,20,12,14,10,13,13,21,18,18,13,12,23,13,23,68,42,14,11,11,15,19,10,19,5,8,4,6,23,18,6,5,29,77,74,24,8,13,9,6,5,18,13,10,3,4,0,21,9,11,7,2,4,2,6,23,14,8,23,9,4,14,19,16,14,11,16,15,13,19,16,5,7,6,14,21,15,11,18,20,10,6,13,26,20,12,5,7,10,18,14,15,8,7,13,7,15,12,20,17,18,22,16,5,12,12,24,24,18,12,11,7,11,14,4,6,11,5,14,14,10,12,18,7,15,18,18,18,9,8,5,10,30,33,18,15,17,8,7,33,16,18,17,9,3,13,17,19,24,26,16,14,4,13,19,20,23,18,15,20,15,18,24,25,18,22,21,22,18,21,13,11,7,29,26,21,39,34,21,28,22,13,23,17,28,17,21,24,21,20,17,14,15,17,10,11,17,14,9,6,9,11,15,11,10,7,3,5,18,20,16,16,19,4,13,9,6,5,10,4,2,4,16,15,5,12,7,8,1,19,14,11,6,5,11,3,6,5,11,13,11,15,24,22,23,40,11,13,11,7,10,26,9,5,4,5,3,13,8,6,30,14,9,37,23,41,11,13,39,21,10,33,53,32,39,25,24,24,31,24,17,14,9,10,17,17,11,16,7,8,14,11,17,3,1,2,0,9,1,13,7,5,13,15,16,12,13,15,23,26,18,8,14,37,29,32,19,19,24,26,27,10,7,15,9,1,6,18,17,5,15,11,31,22
"Arkansas",1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,17,13,7,4,1,0,1,0,1,0,0,0,0,1,0,2,2,1,2,2,1,1,5,4,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,2,1,0,0,2,1,1,0,0,0,2,1,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,2,0,2,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,2,0,1,1,0,0,0,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,1,1,1,0,0,0,2,2,0,0,0,0,0,2,1,1,0,1,2,0,0,0,2,1,1,3,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,4,2,27,5,2,2,1,3,1,0,2,0,0,1,7,37,22,0,1,1,4
"California",30,26,33,84,46,28,33,69,42,131,132,52,65,21,37,23,80,134,136,83,36,45,73,146,242,71,70,46,52,72,73,86,33,129,54,94,38,102,115,114,133,122,132,109,126,57,129,75,117,64,77,69,137,99,95,76,97,50,50,89,45,109,45,52,100,140,145,149,74,33,41,24,48,147,50,52,30,28,21,84,33,48,23,20,26,14,89,90,56,35,40,35,22,37,75,49,33,22,68,34,45,72,56,36,24,29,55,104,65,57,68,81,63,30,34,52,63,88,50,31,15,40,73,56,38,42,70,84,127,112,116,127,96,104,113,79,111,96,123,122,100,62,57,51,63,49,52,40,32,30,25,63,46,36,41,50,56,71,99,97,47,51,37,81,98,107,86,56,70,40,56,81,64,59,38,40,37,57,81,57,35,31,13,30,47,44,102,99,69,36,45,72,50,70,69,57,51,63,108,97,71,74,58,39,30,72,57,70,78,72,55,42,82,83,72,86,97,88,53,129,93,61,60,38,31,38,37,49,68,57,34,18,18,26,41,59,31,32,23,25,44,122,64,65,43,28,17,29,34,29,49,29,25,23,89,74,58,62,30,35,20,83,55,64,49,52,26,21,18,42,58,74,28,26,29,72,65,92,64,51,28,38,94,99,95,44,20,27,34,47,46,56,225,52,20,45,71,81,107,78,55,110,48,108,62,57,49,54,33,65,77,49,104,53,43,56,38,74,68,82,54,42,38,45,82,24,19,17,16,61,36,87,72,93,94,109,68,69,67,66,59,85,112,97,82,169,112,213,119,58,70,61,91,59,41,78,58,51,48,85,75,50,28,37,148,123
"Colorado",11,5,8,7,3,7,1,6,4,11,7,4,3,3,4,1,5,11,11,11,8,11,7,10,52,11,20,6,9,8,13,8,5,6,8,3,2,9,6,5,5,9,11,12,13,7,3,13,28,20,9,5,16,7,7,5,3,4,11,9,7,20,3,6,7,7,19,6,4,4,4,5,3,3,55,9,5,4,4,189,21,3,3,0,4,2,8,5,9,8,5,2,4,3,4,2,4,8,18,14,9,16,8,6,8,2,8,6,19,19,27,19,11,10,2,8,7,5,4,8,10,9,5,7,12,12,20,14,13,21,39,39,35,31,15,13,12,21,53,70,34,18,9,21,19,11,8,14,16,2,10,10,15,16,16,6,9,8,13,8,14,18,14,26,45,37,50,21,21,16,16,17,20,16,20,16,12,13,19,8,10,4,5,10,6,9,16,9,15,13,9,29,19,13,8,17,27,35,28,24,15,12,17,9,19,24,31,16,12,28,21,15,30,14,21,47,41,46,31,25,24,24,13,18,13,9,16,15,12,48,20,18,12,13,9,15,12,12,15,6,6,17,11,8,4,7,5,8,11,9,8,9,9,7,22,31,8,5,4,8,1,7,12,7,2,9,9,7,7,5,5,11,6,4,4,3,3,12,6,5,8,7,7,6,4,4,8,8,6,7,16,7,10,2,5,3,13,11,8,4,9,6,5,5,10,15,4,8,17,39,9,7,8,8,8,19,10,9,13,11,9,6,8,6,15,3,2,0,2,13,9,11,4,13,11,11,11,14,9,15,13,9,28,12,10,53,34,42,10,28,23,11,22,7,6,12,5,5,4,22,20,10,5,5,39,19
"Connecticut",8,9,2,1,0,0,1,0,1,3,2,1,13,2,1,1,8,0,4,9,3,1,4,2,71,32,6,3,9,8,6,0,3,0,4,1,1,0,2,0,1,15,1,0,5,1,1,0,17,12,0,0,1,1,0,2,2,2,0,1,0,1,1,0,2,2,2,0,2,1,2,2,1,2,1,0,1,0,1,3,3,2,1,0,0,0,1,1,1,1,0,1,0,2,0,1,1,0,10,5,0,1,2,0,0,0,0,3,3,2,11,8,0,1,0,0,0,2,1,0,1,3,0,1,1,0,2,1,1,6,40,7,2,14,2,0,1,1,9,5,3,2,2,0,3,4,0,2,0,2,0,3,0,8,4,0,0,1,1,1,1,1,5,0,11,10,10,7,3,4,3,3,2,3,1,2,1,2,5,2,2,1,1,2,2,1,1,0,0,0,1,2,3,0,0,20,6,6,2,2,4,3,0,2,1,2,2,1,1,13,3,5,6,3,3,9,6,4,3,4,3,5,4,5,4,1,1,1,2,4,0,1,1,0,0,2,0,1,1,4,1,1,1,1,1,0,0,0,1,1,1,1,1,2,8,7,3,0,0,1,2,0,3,0,0,1,2,1,1,1,1,0,2,1,5,2,2,1,1,0,0,2,1,2,0,0,0,0,1,2,2,1,1,1,0,2,3,2,2,6,0,1,1,0,1,3,2,2,0,1,2,2,0,3,3,4,1,0,4,1,2,2,1,2,4,0,2,0,2,0,2,1,1,3,2,0,3,3,3,0,1,6,4,4,3,14,13,13,20,9,5,13,8,4,4,1,0,1,3,3,5,1,1,1,47,29
"District of Columbia",18,15,15,31,15,28,10,10,8,29,21,15,65,18,13,9,28,18,24,148,33,11,31,17,443,108,46,23,26,193,53,16,13,18,26,5,10,10,12,9,19,38,11,35,56,12,15,10,93,25,16,16,15,21,15,21,9,14,7,5,8,13,5,3,5,11,6,19,25,12,17,8,8,7,14,14,24,8,9,19,20,10,12,4,9,4,12,23,12,4,11,6,8,9,19,6,8,11,18,26,22,16,4,10,8,2,7,18,16,17,30,64,29,17,7,5,19,11,5,5,1,9,7,5,8,12,13,13,22,22,122,37,20,52,9,14,14,16,62,71,25,14,16,21,49,19,11,8,11,5,6,23,15,65,16,10,9,18,12,11,10,12,22,40,40,72,132,41,51,26,20,18,44,31,13,15,39,26,59,25,24,11,4,9,15,10,15,8,10,12,7,43,13,16,25,106,39,63,22,24,24,17,15,17,7,24,21,24,23,104,32,35,54,64,47,69,55,29,47,50,20,42,22,33,25,17,29,15,26,19,24,12,8,15,24,29,20,14,10,35,20,11,8,15,13,4,11,19,11,10,9,10,6,10,31,37,8,2,11,12,9,9,17,13,11,10,18,8,13,17,9,11,10,9,20,6,13,19,12,11,7,4,16,10,12,10,6,10,7,17,6,13,5,8,9,5,6,6,10,43,12,6,8,18,22,19,8,12,9,12,21,13,16,22,16,8,10,12,19,10,10,12,16,17,23,9,7,5,11,7,10,7,11,17,17,12,18,11,12,21,14,14,14,9,16,62,64,46,67,18,35,74,38,31,33,17,23,11,7,23,30,7,13,13,128,22
"Florida",35,13,2,11,3,7,15,6,8,13,15,10,18,3,6,5,14,10,20,65,9,16,22,12,315,54,38,45,60,63,17,11,14,9,10,5,4,3,11,7,7,10,8,9,14,11,3,11,57,12,4,6,3,6,2,9,0,0,0,8,6,5,5,5,4,2,12,7,5,3,15,9,5,9,10,5,12,1,4,9,11,10,7,3,4,5,3,6,5,6,3,4,1,10,21,9,2,7,9,9,8,10,7,8,19,7,4,11,3,6,18,44,17,13,13,6,10,8,7,6,4,6,1,1,4,3,9,1,5,20,95,24,10,34,3,10,12,20,52,48,20,11,13,17,25,9,8,14,11,5,5,9,17,31,8,4,12,40,15,11,7,12,9,21,40,74,66,23,26,11,20,20,29,21,17,10,20,26,41,29,21,7,4,9,7,7,5,4,5,9,3,18,17,12,14,64,22,30,16,25,25,15,3,10,8,10,18,24,23,31,24,6,45,38,34,40,21,13,23,17,18,26,10,30,32,8,23,13,12,11,12,8,13,9,12,31,12,16,11,9,17,12,18,8,6,8,11,11,11,25,9,9,14,9,27,48,22,10,14,21,143,21,31,7,15,30,29,7,18,35,12,9,12,17,13,16,71,56,10,10,20,13,11,12,4,6,5,7,11,15,19,20,21,10,6,4,6,16,10,7,8,9,4,7,20,9,11,3,11,13,17,14,14,9,16,9,4,7,17,13,9,7,14,13,6,10,7,4,5,11,9,5,10,6,14,16,32,20,31,24,21,26,18,34,17,84,82,101,43,24,68,79,61,30,26,43,15,17,26,37,41,14,6,16,220,90
"Georgia",24,13,10,38,11,22,15,14,13,23,14,20,23,10,7,11,19,22,35,70,24,100,94,35,193,51,48,285,396,209,13,17,13,16,17,20,8,18,12,15,9,12,34,52,41,27,33,16,83,23,6,5,11,17,13,24,28,9,10,22,14,24,10,12,4,15,14,13,9,27,36,5,4,11,15,19,20,12,33,21,34,16,8,7,8,7,7,17,13,6,8,7,6,50,25,7,8,14,12,13,9,17,4,8,4,6,5,17,16,9,24,38,21,8,7,12,10,13,6,7,5,17,22,12,15,14,10,7,14,14,56,15,12,56,16,4,13,7,44,38,16,12,15,21,36,19,12,8,6,0,12,17,13,33,13,6,8,18,9,7,4,17,12,22,29,58,44,25,40,11,25,15,25,6,5,13,14,35,42,21,8,3,3,2,8,1,2,6,4,13,4,21,33,35,28,40,28,37,10,35,25,28,17,11,26,6,7,10,11,36,39,38,59,68,57,38,21,17,20,31,19,24,13,26,35,4,25,10,17,17,12,9,7,19,23,29,26,15,13,11,16,13,12,30,22,7,10,13,27,45,25,23,29,18,24,41,21,16,11,28,8,15,23,11,50,41,21,8,36,26,10,11,16,16,2,14,14,15,19,30,9,9,12,10,10,13,8,18,4,16,18,20,16,12,10,0,6,13,15,10,12,14,7,19,25,8,10,11,9,9,37,22,33,46,25,26,10,11,19,26,16,13,38,28,16,13,9,17,8,10,9,8,13,21,27,27,69,58,40,41,36,34,29,60,36,88,75,114,51,62,152,119,48,84,18,173,33,32,39,49,36,31,36,41,125,163
