"","2000-01-01","2000-01-02","2000-01-03","2000-01-04","2000-01-05","2000-01-06","2000-01-07","2000-01-08","2000-01-09","2000-01-10","2000-01-11","2000-01-12","2000-01-13","2000-01-14","2000-01-15","2000-01-16","2000-01-17","2000-01-18","2000-01-19","2000-01-20","2000-01-21","2000-01-22","2000-01-23","2000-01-24","2000-01-25","2000-01-26","2000-01-27","2000-01-28","2000-01-29","2000-01-30","2000-01-31","2000-02-01","2000-02-02","2000-02-03","2000-02-04","2000-02-05","2000-02-06","2000-02-07","2000-02-08","2000-02-09","2000-02-10","2000-02-11","2000-02-12","2000-02-13","2000-02-14","2000-02-15","2000-02-16","2000-02-17","2000-02-18","2000-02-19","2000-02-20","2000-02-21","2000-02-22","2000-02-23","2000-02-24","2000-02-25","2000-02-26","2000-02-27","2000-02-28","2000-02-29","2000-03-01","2000-03-02","2000-03-03","2000-03-04","2000-03-05","2000-03-06","2000-03-07","2000-03-08","2000-03-09","2000-03-10","2000-03-11","2000-03-12","2000-03-13","2000-03-14","2000-03-15","2000-03-16","2000-03-17","2000-03-18","2000-03-19","2000-03-20","2000-03-21","2000-03-22","2000-03-23","2000-03-24","2000-03-25","2000-03-26","2000-03-27","2000-03-28","2000-03-29","2000-03-30","2000-03-31","2000-04-01","2000-04-02","2000-04-03","2000-04-04","2000-04-05","2000-04-06","2000-04-07","2000-04-08","2000-04-09","2000-04-10","2000-04-11","2000-04-12","2000-04-13","2000-04-14","2000-04-15","2000-04-16","2000-04-17","2000-04-18","2000-04-19","2000-04-20","2000-04-21","2000-04-22","2000-04-23","2000-04-24","2000-04-25","2000-04-26","2000-04-27","2000-04-28","2000-04-29","2000-04-30","2000-05-01","2000-05-02","2000-05-03","2000-05-04","2000-05-05","2000-05-06","2000-05-07","2000-05-08","2000-05-09","2000-05-10","2000-05-11","2000-05-12","2000-05-13","2000-05-14","2000-05-15","2000-05-16","2000-05-17","2000-05-18","2000-05-19","2000-05-20","2000-05-21","2000-05-22","2000-05-23","2000-05-24","2000-05-25","2000-05-26","2000-05-27","2000-05-28","2000-05-29","2000-05-30","2000-05-31","2000-06-01","2000-06-02","2000-06-03","2000-06-04","2000-06-05","2000-06-06","2000-06-07","2000-06-08","2000-06-09","2000-06-10","2000-06-11","2000-06-12","2000-06-13","2000-06-14","2000-06-15","2000-06-16","2000-06-17","2000-06-18","2000-06-19","2000-06-20","2000-06-21","2000-06-22","2000-06-23","2000-06-24","2000-06-25","2000-06-26","2000-06-27","2000-06-28","2000-06-29","2000-06-30","2000-07-01","2000-07-02","2000-07-03","2000-07-04","2000-07-05","2000-07-06","2000-07-07","2000-07-08","2000-07-09","2000-07-10","2000-07-11","2000-07-12","2000-07-13","2000-07-14","2000-07-15","2000-07-16","2000-07-17","2000-07-18","2000-07-19","2000-07-20","2000-07-21","2000-07-22","2000-07-23","2000-07-24","2000-07-25","2000-07-26","2000-07-27","2000-07-28","2000-07-29","2000-07-30","2000-07-31","2000-08-01","2000-08-02","2000-08-03","2000-08-04","2000-08-05","2000-08-06","2000-08-07","2000-08-08","2000-08-09","2000-08-10","2000-08-11","2000-08-12","2000-08-13","2000-08-14","2000-08-15","2000-08-16","2000-08-17","2000-08-18","2000-08-19","2000-08-20","2000-08-21","2000-08-22","2000-08-23","2000-08-24","2000-08-25","2000-08-26","2000-08-27","2000-08-28","2000-08-29","2000-08-30","2000-08-31","2000-09-01","2000-09-02","2000-09-03","2000-09-04","2000-09-05","2000-09-06","2000-09-07","2000-09-08","2000-09-09","2000-09-10","2000-09-11","2000-09-12","2000-09-13","2000-09-14","2000-09-15","2000-09-16","2000-09-17","2000-09-18","2000-09-19","2000-09-20","2000-09-21","2000-09-22","2000-09-23","2000-09-24","2000-09-25","2000-09-26","2000-09-27","2000-09-28","2000-09-29","2000-09-30","2000-10-01","2000-10-02","2000-10-03","2000-10-04","2000-10-05","2000-10-06","2000-10-07","2000-10-08","2000-10-09","2000-10-10","2000-10-11","2000-10-12","2000-10-13","2000-10-14","2000-10-15","2000-10-16","2000-10-17","2000-10-18","2000-10-19","2000-10-20","2000-10-21","2000-10-22","2000-10-23","2000-10-24","2000-10-25","2000-10-26","2000-10-27","2000-10-28","2000-10-29","2000-10-30","2000-10-31","2000-11-01","2000-11-02","2000-11-03","2000-11-04","2000-11-05","2000-11-06","2000-11-07","2000-11-08","2000-11-09","2000-11-10","2000-11-11","2000-11-12","2000-11-13","2000-11-14","2000-11-15","2000-11-16","2000-11-17","2000-11-18","2000-11-19","2000-11-20","2000-11-21","2000-11-22","2000-11-23","2000-11-24","2000-11-25","2000-11-26","2000-11-27","2000-11-28","2000-11-29","2000-11-30","2000-12-01","2000-12-02","2000-12-03","2000-12-04","2000-12-05","2000-12-06","2000-12-07","2000-12-08","2000-12-09","2000-12-10","2000-12-11","2000-12-12","2000-12-13","2000-12-14","2000-12-15","2000-12-16","2000-12-17","2000-12-18","2000-12-19","2000-12-20","2000-12-21","2000-12-22","2000-12-23","2000-12-24","2000-12-25","2000-12-26","2000-12-27","2000-12-28","2000-12-29","2000-12-30","2000-12-31"
"Alabama",5,4,0,3,1,3,1,0,1,1,0,1,0,1,1,1,3,0,0,1,1,11,10,7,2,3,21,19,27,19,3,2,2,3,0,1,0,0,1,1,1,2,3,6,3,2,2,4,4,2,1,0,1,1,2,1,3,4,3,2,0,3,2,1,1,0,1,0,0,7,1,0,1,0,1,2,0,4,6,5,0,0,1,0,2,1,2,4,0,1,1,1,1,6,3,0,1,4,3,1,1,4,3,1,0,0,3,3,2,2,3,1,2,0,1,1,0,1,1,0,1,0,1,2,1,3,1,0,1,2,4,1,2,3,0,0,1,0,3,4,2,1,0,0,4,1,1,1,0,1,1,2,1,2,3,0,0,3,1,1,0,1,0,2,4,5,1,5,6,2,1,1,0,0,0,3,2,2,5,1,1,0,0,1,0,0,1,2,0,1,1,2,1,3,1,1,0,1,0,1,0,1,3,4,0,0,0,0,1,1,4,2,2,5,3,2,3,1,1,3,0,1,0,0,5,0,2,1,1,3,1,3,2,1,1,1,3,1,0,1,2,0,0,2,0,0,0,0,0,4,2,1,2,2,1,0,0,1,0,1,0,2,1,0,3,1,2,0,2,0,1,1,0,2,1,1,1,1,2,0,2,0,1,0,1,0,0,0,2,1,2,0,2,3,2,2,0,0,1,1,2,1,0,0,1,4,0,3,0,2,4,6,5,2,1,1,1,2,1,1,1,1,3,0,3,2,0,2,1,1,1,0,0,1,2,2,8,4,5,2,2,2,1,4,2,7,8,13,2,5,12,9,4,7,2,13,2,2,0,4,10,5,2,2,2,7
"Alaska",9,5,9,8,9,4,16,6,7,6,3,2,7,3,4,2,6,4,11,5,1,6,4,7,10,8,13,2,5,5,5,14,13,11,9,3,11,8,11,11,9,8,7,7,9,11,5,9,27,20,5,9,3,9,13,13,15,11,8,5,4,2,12,9,7,2,4,5,2,6,6,1,1,2,2,4,4,10,6,3,0,0,8,2,7,4,3,6,5,11,11,9,4,9,7,6,0,6,2,6,8,10,10,13,22,18,19,11,14,10,14,12,12,12,7,12,8,12,25,14,11,6,1,3,4,5,7,5,12,9,9,1,7,13,1,3,11,4,5,3,7,2,8,4,13,6,8,13,0,1,7,1,1,4,0,10,10,6,4,8,10,10,2,8,1,22,0,1,0,2,4,7,0,2,6,7,5,4,6,9,5,15,20,9,12,22,21,16,20,12,19,6,12,12,9,6,7,22,8,11,13,4,13,5,9,1,6,7,11,9,1,8,0,11,1,7,15,2,3,9,17,4,13,8,5,3,12,4,6,7,6,8,4,7,9,6,8,7,9,3,4,4,5,9,6,2,0,10,2,7,2,3,5,9,1,3,5,3,2,3,5,1,3,8,18,12,12,9,6,7,5,2,2,1,2,10,2,11,2,4,1,0,3,6,1,5,7,7,3,4,4,1,2,9,8,1,5,1,3,2,5,1,0,6,1,0,7,8,10,6,1,4,2,2,4,6,3,4,2,8,3,2,2,8,0,1,6,1,9,1,0,0,0,8,0,6,1,10,5,1,2,2,5,0,2,1,2,8,7,7,3,4,5,11,0,4,0,2,2,1,0,7,0,1,3,3
"Arizona",16,13,17,27,27,20,14,17,16,26,17,17,6,10,11,15,9,19,15,17,5,11,10,14,36,19,20,10,12,10,15,15,20,20,18,9,14,15,16,21,22,15,20,10,21,14,24,49,68,24,12,14,18,19,11,21,8,9,8,3,22,18,11,8,27,63,71,28,8,9,10,7,7,25,13,11,3,3,1,24,12,14,8,1,5,3,10,25,15,11,19,13,5,13,23,19,13,11,18,18,16,21,15,11,6,7,18,24,13,17,15,19,19,11,13,24,23,20,9,7,10,16,14,16,12,9,12,8,15,16,20,17,19,22,17,7,14,10,26,25,18,16,9,11,11,14,9,2,13,8,14,14,12,11,17,11,15,16,26,22,10,11,6,15,33,28,26,20,18,11,8,30,24,19,17,7,11,8,16,20,27,30,16,15,15,15,16,26,23,19,17,22,13,22,25,31,12,20,29,21,20,19,15,10,6,23,31,23,36,41,27,22,26,13,20,25,29,26,14,22,24,21,20,19,19,17,14,10,17,14,9,9,8,13,11,16,10,9,3,10,18,23,13,16,18,11,12,9,9,9,10,5,4,5,17,17,6,13,7,9,2,16,15,12,11,5,14,5,5,7,10,13,11,12,28,23,22,44,15,18,11,4,12,26,9,7,5,4,3,12,12,8,41,14,14,38,23,30,14,16,29,28,13,34,37,33,50,27,21,32,32,30,21,16,12,12,17,23,13,19,7,8,15,14,12,5,4,1,2,7,6,12,12,5,14,17,13,14,16,16,21,31,20,13,15,41,33,41,18,19,30,33,23,16,9,14,15,10,8,19,23,5,18,10,28,33
"Arkansas",1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,2,21,5,7,2,0,0,1,0,1,0,0,0,0,1,0,3,1,0,1,1,3,3,3,3,0,0,2,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,2,1,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,2,0,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,3,2,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,0,0,0,0,1,3,1,1,1,2,0,0,0,0,2,1,1,2,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0,0,2,3,6,26,1,2,1,2,1,1,0,1,0,0,1,14,35,13,0,2,0,5
"California",30,22,31,87,47,31,31,67,38,125,134,47,62,22,31,28,83,133,134,81,37,49,75,144,230,80,72,43,48,78,75,88,33,124,48,90,33,98,112,115,127,122,135,110,128,51,122,72,112,54,80,68,147,92,104,68,90,53,51,89,46,104,44,61,95,143,143,140,76,31,37,31,48,143,52,49,23,25,22,80,37,45,23,16,23,12,90,86,48,32,43,36,18,40,66,51,34,23,67,34,43,80,48,42,18,29,54,92,64,59,66,89,56,25,38,48,56,87,52,27,14,38,71,64,41,33,72,74,132,120,114,116,104,104,112,81,104,98,143,106,91,63,59,53,64,50,52,39,32,27,28,54,48,41,34,42,63,71,100,96,51,57,27,76,105,105,81,72,59,33,53,86,69,51,36,42,35,50,83,52,39,29,17,32,45,36,98,95,70,38,40,76,52,69,69,58,42,68,110,100,65,80,55,42,25,71,58,75,80,83,46,46,78,77,76,90,98,77,56,128,90,66,61,47,27,28,34,52,54,67,30,17,23,21,45,62,31,32,25,18,48,115,60,63,51,22,14,23,36,30,42,33,20,21,90,73,49,58,36,36,18,83,55,64,44,51,25,19,18,41,61,74,29,31,25,81,60,86,59,48,25,34,100,92,96,41,21,31,41,41,44,50,210,53,18,38,71,78,101,79,64,101,44,110,68,64,54,46,42,65,72,52,98,59,43,53,34,72,68,75,50,43,37,47,77,29,28,14,19,60,23,75,73,92,91,111,69,68,71,68,62,80,97,96,74,177,103,204,128,57,72,58,85,59,44,70,62,41,44,64,70,54,22,32,144,134
"Colorado",8,8,7,6,4,6,2,6,2,10,6,5,3,4,6,2,6,7,10,13,8,11,8,5,45,21,20,7,10,8,10,7,6,6,10,3,4,6,8,5,5,9,9,7,16,4,5,7,28,25,11,6,11,8,9,11,3,6,8,10,7,15,5,2,8,7,13,9,2,5,3,6,1,6,48,11,3,7,6,182,20,4,3,1,7,4,7,10,8,7,5,2,3,4,2,3,4,8,23,6,5,20,7,6,9,3,6,13,18,16,30,18,19,10,3,11,6,4,6,6,4,11,5,7,10,8,23,17,15,18,43,38,33,38,13,12,11,21,59,75,39,23,12,16,13,16,8,9,16,8,8,14,12,18,18,11,8,8,10,8,9,20,18,24,29,58,39,29,27,15,14,23,19,16,16,18,14,15,16,13,10,10,6,9,9,7,11,12,15,13,7,30,20,15,10,13,25,26,39,27,14,9,11,18,18,23,25,21,12,23,23,16,23,25,18,26,58,44,33,30,29,20,12,18,13,13,14,12,16,25,39,20,11,16,10,18,11,13,17,8,9,17,8,9,4,10,6,10,11,7,8,9,7,2,24,39,7,2,5,6,5,9,7,6,3,6,9,8,5,8,4,5,5,5,4,4,5,9,4,4,10,2,5,8,4,5,5,9,6,7,13,7,12,4,6,3,10,11,8,5,7,10,4,6,13,12,6,11,15,28,18,3,8,7,9,17,10,13,8,13,10,9,9,8,15,6,2,0,1,12,12,9,2,14,12,11,9,15,10,18,12,9,26,15,12,44,37,44,18,21,28,15,21,10,6,11,5,5,4,11,24,11,4,4,42,20
"Connecticut",10,0,3,0,0,0,2,0,0,0,2,1,14,0,0,4,2,1,4,15,0,3,5,2,94,10,6,4,9,15,3,0,2,1,2,1,1,0,2,0,1,13,0,3,2,0,1,1,23,4,0,0,0,2,0,3,0,0,0,1,0,1,1,0,0,2,1,0,1,1,1,1,1,2,1,0,1,1,0,2,4,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,10,2,2,2,2,0,0,0,1,2,2,2,7,6,1,1,0,0,1,1,1,1,0,2,0,0,1,1,1,1,2,5,36,4,2,14,1,1,1,1,10,6,2,4,2,0,6,1,0,2,0,1,1,3,2,9,1,0,0,1,0,0,0,1,5,1,11,10,10,5,4,6,0,3,4,3,1,1,2,0,4,3,3,0,1,1,2,2,0,1,0,0,1,3,2,0,0,21,2,5,3,2,2,2,0,2,0,1,1,1,0,12,4,6,5,3,4,7,8,2,2,4,4,4,3,5,4,1,0,0,1,4,0,1,1,0,0,2,0,0,0,6,0,1,0,1,0,0,0,0,1,1,2,0,0,1,9,3,2,0,1,1,3,0,3,0,0,2,2,0,1,2,1,1,1,1,0,2,3,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,3,0,0,0,2,2,1,4,0,1,0,1,2,1,1,3,0,1,2,3,1,3,1,3,1,0,3,1,2,2,1,0,3,0,2,0,1,1,1,1,1,2,1,0,5,1,2,0,2,6,4,3,4,18,9,15,15,6,5,10,6,6,3,2,0,3,1,4,3,1,0,2,66,9
"District of Columbia",12,12,16,29,18,27,14,6,8,28,19,16,57,20,10,9,25,17,37,120,32,22,21,17,442,91,46,21,41,186,38,15,16,12,25,4,7,12,13,8,18,40,12,39,39,11,17,11,78,36,11,12,18,17,14,25,3,12,8,5,7,12,7,1,4,9,5,22,25,12,12,8,10,6,11,17,26,4,9,20,19,8,9,5,7,4,9,21,11,8,10,4,9,10,16,7,7,11,17,26,17,18,11,5,5,6,12,16,13,15,35,62,21,15,8,6,16,8,4,5,0,7,8,5,8,10,17,8,14,24,111,40,22,46,9,11,11,12,56,78,20,12,19,17,37,25,12,9,8,8,10,24,16,59,13,7,8,18,10,17,8,11,21,37,37,70,119,45,44,20,29,16,42,29,16,17,25,29,49,23,20,14,5,8,12,11,12,12,10,9,11,31,20,15,21,92,39,51,24,21,25,17,11,15,9,19,21,20,23,95,29,30,50,52,42,60,47,33,35,37,25,43,17,29,25,19,23,17,20,18,24,11,13,9,25,27,22,11,9,27,15,10,6,15,12,4,7,19,13,7,11,4,8,10,30,31,6,4,11,10,10,11,14,10,12,9,16,8,15,14,11,8,13,4,15,5,13,20,10,11,5,9,13,10,15,7,4,8,8,16,5,15,4,8,8,5,5,6,9,35,16,4,6,16,20,16,7,13,11,10,20,10,20,16,13,11,7,14,12,11,9,9,13,19,17,11,8,4,5,5,15,5,9,17,15,19,17,8,13,18,13,15,15,8,14,66,54,65,45,13,35,73,40,29,37,19,19,12,12,21,28,6,15,40,89,29
"Florida",51,6,2,10,4,6,10,7,7,16,9,7,16,4,6,3,14,11,16,64,21,36,24,7,293,82,39,46,59,72,22,8,6,5,3,3,3,3,7,2,7,10,5,12,14,6,7,7,48,15,0,3,2,3,2,4,1,0,1,5,2,7,2,3,4,0,6,2,1,2,11,13,1,6,6,3,10,1,8,11,15,2,3,1,3,1,6,11,4,3,3,4,0,15,13,7,2,4,6,14,9,12,3,4,15,4,3,5,2,4,20,32,21,12,11,4,13,4,8,3,5,5,0,2,2,3,3,5,4,21,85,29,11,31,7,8,12,15,49,55,14,8,10,14,22,10,7,10,10,5,3,13,11,27,15,5,9,32,12,8,7,8,9,23,36,70,68,37,14,23,16,17,23,21,16,5,22,31,37,31,22,2,3,8,8,2,3,6,5,6,0,13,15,12,12,70,19,28,20,22,25,11,2,7,8,7,16,23,19,39,16,13,41,42,36,42,18,10,24,15,17,21,13,20,29,9,17,16,11,8,10,8,6,4,14,23,11,14,9,14,13,10,16,9,4,5,13,10,8,21,8,9,10,8,34,36,19,13,11,36,116,15,30,14,14,19,20,7,13,33,10,8,6,16,15,10,54,60,7,9,14,9,11,10,3,3,8,4,9,10,16,16,16,8,6,2,6,15,8,9,6,8,4,8,20,4,4,4,9,13,11,11,9,10,14,4,6,2,15,11,6,4,10,10,4,7,3,5,9,5,6,4,10,7,7,16,24,27,32,24,18,22,20,26,23,93,79,94,42,32,54,78,55,29,31,45,9,14,22,30,45,21,4,8,209,115
"Georgia",24,17,14,39,14,21,15,13,21,26,18,21,28,12,7,11,26,29,26,74,35,48,123,34,184,69,46,298,372,208,27,24,20,16,22,24,14,20,15,18,11,15,37,54,49,26,36,20,74,38,10,15,10,18,13,25,30,20,12,26,15,26,17,19,6,15,20,14,12,22,35,9,6,14,23,19,19,14,13,49,36,18,10,9,9,12,8,20,14,8,12,12,7,40,31,8,10,11,20,15,13,16,7,10,4,10,8,19,13,12,26,40,21,11,12,16,13,13,8,13,9,22,23,10,18,16,12,6,14,18,54,19,14,49,22,7,13,12,42,43,16,15,16,22,29,24,9,10,7,4,13,24,16,32,23,4,11,23,9,10,7,21,12,25,35,50,56,30,36,20,21,21,23,12,12,14,14,35,51,28,11,6,1,4,7,2,5,8,6,13,6,23,37,40,27,41,39,31,15,42,31,30,20,18,29,13,8,14,16,38,41,43,61,64,61,38,23,23,28,28,21,25,16,22,37,13,27,11,18,17,16,10,10,17,25,29,28,17,19,12,19,13,16,33,23,10,10,12,25,49,30,17,35,26,28,40,27,18,16,21,16,18,22,13,45,51,22,8,38,32,17,12,22,17,4,14,13,17,17,32,14,11,16,10,10,14,9,22,8,18,22,23,17,17,10,3,7,15,20,9,15,15,9,20,25,14,15,11,11,13,37,20,34,50,24,27,15,16,20,30,16,16,42,32,17,20,9,15,14,12,8,15,10,18,30,27,59,79,40,40,36,37,34,57,44,87,75,120,69,50,175,120,88,58,25,161,38,34,39,60,48,43,37,29,115,151
