"city","min","mean","max"
"Albany",-35,7.66171480280522,1361
"Albuquerque",-30,10.174505225706,1139
"Allentown",-40,7.6684465209411,1075
"Amarillo",-34,8.40119888674802,395
"Anchorage",-67,11.3362714627809,588
"Asheville",-11,0.0216110019646365,185
"Atlanta",-990,11.3872249364708,1435
"Augusta",-15,3.54423868312757,252
"Austin",-22,9.28326896485958,1435
"Avoca",-13,3.93813732154997,343
"Barrow",-19,12.2131147540984,394
"Baton Rouge",-17,6.11487889273356,614
"Bethel",-11,16.4205508474576,293
"Billings",-34,5.81273666092943,1081
"Binghamton",-13,6.01673101673102,319
"Birmingham",-36,7.44221336603311,1173
"Bismarck",-12,1.00713775874375,305
"Blountville",-11,0.364140480591497,166
"Boise",-13,11.4481702402064,415
"Boston",-60,11.9773293184319,1429
"Bozeman",-13,2.57834602829162,521
"Brownsville",-9,-0.518518518518518,56
"Buffalo",-26,9.86922526292605,868
"Burbank",-12,12.7000410034667,1030
"BWI Airport",-27,11.6048848475312,1142
"Cedar Rapids",-19,7.39633638634471,612
"Charleston",-20,4.5678553104156,305
"Charlotte",-35,9.05476986983337,853
"Chattanooga",-8,-0.0183930300096805,120
"Chicago",-36,16.7316630743294,1360
"Cincinnati",-23,9.82059470285866,1435
"Cleveland",-24,7.8453303802141,933
"Colorado Springs",-20,7.95418760469012,1134
"Columbia",-13,4.90219041422685,408
"Columbus",-18,8.78715452807231,1219
"Cordova",-22,15.8931623931624,670
"Corpus Christi",-9,7.74892915980231,359
"Dallas",-60,11.3354771674621,972
"Dayton",-20,6.49751290473956,988
"Daytona Beach",-27,7.17406483790524,302
"Deadhorse",-12,12.0647058823529,221
"Denver",-19,16.4341342793365,1435
"Des Moines",-22,8.92956872479057,947
"Detroit",-88,11.5263793498941,1129
"Dillingham",-24,21.0555555555556,410
"Duluth",-13,3.7633973710819,647
"Durango",-13,1.70940170940171,126
"Eagle",-13,11.9337919174549,934
"El Paso",-28,9.3630570524335,762
"Elmira / Corning",-18,1.12344777209642,306
"Erie",-14,0.538071065989848,314
"Eugene",-8,18.3963088878096,320
"Fairbanks",-17,8.07865829737152,511
"Fargo",-12,1.15320820602357,287
"Fayetteville",-11,0.52971386647102,306
"Flint",-18,3.25483870967742,359
"Fort Lauderdale",-15,13.4264243777392,1435
"Fort Myers",-41,8.42090952348583,853
"Fort Wayne",-19,5.32,831
"Fresno",-12,5.79831932773109,775
"Grand Forks",-10,2.865,963
"Grand Rapids",-40,5.88301984024736,736
"Great Falls",-17,12.1391982182628,1430
"Green Bay",-18,3.62526464361327,778
"Greensboro",-21,8.12352456766401,872
"Greenville",-21,5.72433430814222,733
"Gulfport",-28,-1.27426955702168,265
"Gunnison",-24,6.43119266055046,277
"Gustavus",-10,7.34090909090909,178
"Harlingen",-5,9.24381884944921,416
"Harrisburg",-34,6.12560731637611,567
"Hayden",-16,12.1371087928465,1027
"Helena",-14,5.04266211604096,341
"Hilo",-11,1.46864686468647,76
"Honolulu",-18,5.84592796787919,1383
"Houston",-32,9.71362150065723,979
"Huntsville",-26,3.95178311499272,611
"Indianapolis",-18,9.08412906993722,919
"Islip",-18,7.10916085597499,450
"Ithaca",-15,0.24266862170088,475
"Jackson",-38,8.1598681499794,1418
"Jacksonville",-24,8.75809774993819,1135
"Juneau",-14,14.166971219735,575
"Kahului",-24,7.76993699369937,1164
"Kalamazoo",-16,2.37821782178218,552
"Kansas City",-21,9.72496679729131,1281
"Keahole",-24,5.69373737373737,1162
"Ketchikan",-26,9.91387755102041,539
"King Salmon",-16,10.1541095890411,425
"Knoxville",-13,7.28084728188417,1091
"Kodiak",-16,10.0253731343284,296
