"state","flights"
"Alabama",30154
"Alaska",41311
"Arizona",203475
"Arkansas",13209
"California",678104
"Colorado",147357
"Connecticut",35044
"District of Columbia",142661
"Florida",347923
"Georgia",260454
"Hawaii",27681
"Idaho",12406
"Illinois",329902
"Indiana",36612
"Iowa",11929
"Kansas",6245
"Kentucky",25422
"Louisiana",60337
"Maine",5861
"Maryland",88969
"Massachusetts",103614
"Michigan",165417
"Minnesota",145759
"Mississippi",9929
"Missouri",228382
"Montana",8969
"Nebraska",19618
"Nevada",165673
"New Hampshire",13428
"New Jersey",115390
"New Mexico",35976
"New York",209547
"North Carolina",180495
"North Dakota",5684
"Ohio",172623
"Oklahoma",39057
"Oregon",59346
"Pennsylvania",231539
"Rhode Island",25421
"South Carolina",20502
"South Dakota",4682
"Tennessee",118778
"Texas",597542
"Utah",78100
"Vermont",2532
"Virginia",34020
"Washington",116003
"West Virginia",1180
"Wisconsin",21927
"Wyoming",840
