"state","flights"
"Alabama",30253
"Alaska",41364
"Arizona",202942
"Arkansas",13240
"California",678573
"Colorado",147301
"Connecticut",35114
"District of Columbia",143045
"Florida",348560
"Georgia",259057
"Hawaii",27661
"Idaho",12434
"Illinois",329024
"Indiana",36720
"Iowa",11982
"Kansas",6272
"Kentucky",25531
"Louisiana",60465
"Maine",5881
"Maryland",88986
"Massachusetts",103844
"Michigan",165272
"Minnesota",145479
"Mississippi",9917
"Missouri",228359
"Montana",8884
"Nebraska",19694
"Nevada",165845
"New Hampshire",13449
"New Jersey",115394
"New Mexico",36002
"New York",209867
"North Carolina",180295
"North Dakota",5703
"Ohio",172791
"Oklahoma",39158
"Oregon",59447
"Pennsylvania",231485
"Rhode Island",25439
"South Carolina",20511
"South Dakota",4690
"Tennessee",118925
"Texas",597250
"Utah",78311
"Vermont",2531
"Virginia",34048
"Washington",116011
"West Virginia",1185
"Wisconsin",21992
"Wyoming",846
