"state","Cancel_from/Total","Cancel_to/Total"
"Alabama",0.0254040077569489,0.0239708349464447
"Alaska",0.0543868885480807,0.0534770371387382
"Arizona",0.026607729732057,0.0290692667617143
"Arkansas",0.0246621871077309,0.0233107111242254
"California",0.0337535908075327,0.0332092858913607
"Colorado",0.0313490133179075,0.0317043990428861
"Connecticut",0.0307019970127787,0.0280937750837278
"District of Columbia",0.0546241318984255,0.0514005676543144
"Florida",0.0188684033907291,0.0174904514255916
"Georgia",0.0346547864375621,0.0377426472226969
"Hawaii",0.012556629686441,0.0115776308736823
"Idaho",0.0128113312644227,0.0107407112737688
"Illinois",0.058576773041044,0.0613394194422652
"Indiana",0.0294257992683315,0.0267433539187363
"Iowa",0.0471283648853742,0.0424358666986334
"Kansas",0.0452530194159914,0.0411252102125057
"Kentucky",0.0220427005193306,0.0210881484605652
"Louisiana",0.016175055846337,0.0142165414024162
"Maine",0.0402816440150647,0.0371643745907007
"Maryland",0.0207583512189753,0.0205281174670615
"Massachusetts",0.068872553424756,0.0671326032861108
"Michigan",0.0326604367200384,0.0334462047710113
"Minnesota",0.0298966396230308,0.0316957421742401
"Mississippi",0.0185825837698923,0.0149980135081446
"Missouri",0.0212144069394682,0.0213675030534188
"Montana",0.0169881630863656,0.0135465245391961
"Nebraska",0.0193451637090727,0.0171183310874881
"Nevada",0.0163980170392139,0.0155171287969179
"New Hampshire",0.0220668560192266,0.0207514198339886
"New Jersey",0.0517163449290369,0.0516990590458972
"New Mexico",0.0129228743106429,0.012534627938232
"New York",0.0557926183599259,0.0538561761483772
"North Carolina",0.0318921267317811,0.0331256167145738
"North Dakota",0.0194928411247197,0.016554578375582
"Ohio",0.0306272005930019,0.0297273773759721
"Oklahoma",0.0191612255148167,0.017784132239697
"Oregon",0.0261568756153594,0.0243874419444308
"Pennsylvania",0.0420278282312151,0.042318607941617
"Rhode Island",0.0217048297094478,0.0209744458128079
"South Carolina",0.0461967899511514,0.0446224789230984
"South Dakota",0.0170060885996221,0.0151196976060479
"Tennessee",0.0201613568494168,0.0195633893386536
"Texas",0.0251120022710439,0.0257219200741251
"Utah",0.0209965528047634,0.0207330340506946
"Vermont",0.0387243735763098,0.0391040242976462
"Virginia",0.0433608908385355,0.0430847924454063
"Washington",0.0301887738893441,0.0302110762800418
"West Virginia",0.0390879478827362,0.0350162866449511
"Wisconsin",0.0353277606687198,0.0324255356592899
"Wyoming",0.0266512166859791,0.0196987253765933
