"state","mean_airvel(Km/h)"
"Alabama",571.157617891968
"Alaska",646.980156752261
"Arizona",685.866982378287
"Arkansas",541.65386059165
"California",663.767669727732
"Colorado",727.333467964913
"Connecticut",595.790545909028
"District of Columbia",613.164061728223
"Florida",644.346980134809
"Georgia",659.804133767711
"Hawaii",573.078298482688
"Idaho",648.979161978036
"Illinois",653.144757109811
"Indiana",567.549011871306
"Iowa",563.815222202221
"Kansas",601.434504224117
"Kentucky",551.995673834419
"Louisiana",613.792498923583
"Maine",482.302442584081
"Maryland",608.808929099325
"Massachusetts",563.265468120024
"Michigan",592.636952539764
"Minnesota",678.349640019816
"Mississippi",571.101242356802
"Missouri",653.181632971656
"Montana",665.873995894324
"Nebraska",637.641889021193
"Nevada",662.117131860919
"New Hampshire",574.997419274737
"New Jersey",649.562655972094
"New Mexico",668.757769948084
"New York",576.578792234281
"North Carolina",584.79151771665
"North Dakota",587.244973709834
"Ohio",614.665635191449
"Oklahoma",574.749621076538
"Oregon",708.964101511455
"Pennsylvania",599.326529731679
"Rhode Island",549.325894057306
"South Carolina",488.192381263609
"South Dakota",586.827782181597
"Tennessee",637.702153416213
"Texas",631.633925869472
"Utah",707.677952163909
"Vermont",493.567146447293
"Virginia",550.405661117906
"Washington",719.982850361711
"West Virginia",481.773505586957
"Wisconsin",522.941339772437
"Wyoming",713.019014192939
