"state","mean_airvel"
"Alabama",610.073773844534
"Alaska",633.733664031824
"Arizona",650.37449976922
"Arkansas",574.95836060175
"California",633.607624840011
"Colorado",698.802260104784
"Connecticut",684.913701527218
"District of Columbia",660.613860138614
"Florida",666.394379241687
"Georgia",648.852861610367
"Hawaii",555.741297005034
"Idaho",670.534594900512
"Illinois",628.653231038339
"Indiana",612.581591540882
"Iowa",600.183093473085
"Kansas",614.508951333297
"Kentucky",585.245840586078
"Louisiana",638.204390524564
"Maine",568.266519436371
"Maryland",644.043138570653
"Massachusetts",638.686639500979
"Michigan",588.844643544247
"Minnesota",645.710898422238
"Mississippi",607.2389391999
"Missouri",636.318287848187
"Montana",656.103199225765
"Nebraska",661.802114458618
"Nevada",633.673027406825
"New Hampshire",660.686020834817
"New Jersey",691.545178143825
"New Mexico",685.954248657145
"New York",621.077622586242
"North Carolina",604.043016794529
"North Dakota",574.589316187792
"Ohio",639.495339589446
"Oklahoma",593.183450759325
"Oregon",683.032774407967
"Pennsylvania",617.078872149641
"Rhode Island",648.125459241198
"South Carolina",566.991512692399
"South Dakota",582.677077106271
"Tennessee",644.006384351249
"Texas",616.180224274061
"Utah",689.548129223299
"Vermont",554.270063113386
"Virginia",628.10973107833
"Washington",677.67997851123
"West Virginia",530.877668841993
"Wisconsin",561.941009394123
"Wyoming",653.797692018059
