"state","cancellations"
"Alabama",801
"Alaska",1578
"Arizona",5784
"Arkansas",1005
"California",27742
"Colorado",5748
"Connecticut",1183
"District of Columbia",9583
"Florida",9794
"Georgia",10719
"Hawaii",1617
"Idaho",227
"Illinois",21494
"Indiana",1517
"Iowa",888
"Kansas",273
"Kentucky",513
"Louisiana",1488
"Maine",1012
"Maryland",2402
"Massachusetts",10706
"Michigan",6298
"Minnesota",5191
"Mississippi",215
"Missouri",5792
"Montana",163
"Nebraska",449
"Nevada",3257
"New Hampshire",537
"New Jersey",6391
"New Mexico",676
"New York",17501
"North Carolina",7076
"North Dakota",110
"Ohio",6215
"Oklahoma",1420
"Oregon",1588
"Pennsylvania",11004
"Rhode Island",1087
"South Carolina",916
"South Dakota",117
"Tennessee",3182
"Texas",25669
"Utah",1869
"Vermont",282
"Virginia",1715
"Washington",3374
"West Virginia",57
"Wisconsin",1249
"Wyoming",31
