"day","cancelations"
"2001-01-01",1185
"2001-01-02",702
"2001-01-03",575
"2001-01-04",474
"2001-01-05",875
"2001-01-06",506
"2001-01-07",461
"2001-01-08",505
"2001-01-09",545
"2001-01-10",706
"2001-01-11",711
"2001-01-12",633
"2001-01-13",310
"2001-01-14",509
"2001-01-15",664
"2001-01-16",623
"2001-01-17",459
"2001-01-18",851
"2001-01-19",697
"2001-01-20",858
"2001-01-21",1208
"2001-01-22",426
"2001-01-23",468
"2001-01-24",379
"2001-01-25",457
"2001-01-26",602
"2001-01-27",450
"2001-01-28",488
"2001-01-29",1162
"2001-01-30",825
"2001-01-31",486
"2001-02-01",348
"2001-02-02",397
"2001-02-03",239
"2001-02-04",297
"2001-02-05",1593
"2001-02-06",779
"2001-02-07",718
"2001-02-08",578
"2001-02-09",1010
"2001-02-10",462
"2001-02-11",371
"2001-02-12",543
"2001-02-13",787
"2001-02-14",969
"2001-02-15",608
"2001-02-16",499
"2001-02-17",350
"2001-02-18",259
"2001-02-19",292
"2001-02-20",489
"2001-02-21",408
"2001-02-22",868
"2001-02-23",579
"2001-02-24",731
"2001-02-25",1040
"2001-02-26",499
"2001-02-27",697
"2001-02-28",951
"2001-03-01",514
"2001-03-02",468
"2001-03-03",379
"2001-03-04",890
"2001-03-05",2781
"2001-03-06",2035
"2001-03-07",451
"2001-03-08",407
"2001-03-09",470
"2001-03-10",283
"2001-03-11",254
"2001-03-12",604
"2001-03-13",615
"2001-03-14",465
"2001-03-15",461
"2001-03-16",493
"2001-03-17",301
"2001-03-18",235
"2001-03-19",363
"2001-03-20",659
"2001-03-21",750
"2001-03-22",592
"2001-03-23",391
"2001-03-24",225
"2001-03-25",198
"2001-03-26",437
"2001-03-27",381
"2001-03-28",251
"2001-03-29",359
"2001-03-30",653
"2001-03-31",330
"2001-04-01",250
"2001-04-02",398
"2001-04-03",450
"2001-04-04",464
"2001-04-05",468
"2001-04-06",593
"2001-04-07",416
"2001-04-08",310
"2001-04-09",633
"2001-04-10",595
"2001-04-11",1546
"2001-04-12",628
"2001-04-13",410
"2001-04-14",151
"2001-04-15",280
"2001-04-16",284
"2001-04-17",257
"2001-04-18",328
"2001-04-19",186
"2001-04-20",236
"2001-04-21",248
"2001-04-22",254
"2001-04-23",402
"2001-04-24",303
"2001-04-25",237
"2001-04-26",245
"2001-04-27",220
"2001-04-28",183
"2001-04-29",151
"2001-04-30",226
"2001-05-01",342
"2001-05-02",307
"2001-05-03",273
"2001-05-04",390
"2001-05-05",273
"2001-05-06",178
"2001-05-07",440
"2001-05-08",289
"2001-05-09",276
"2001-05-10",239
"2001-05-11",285
"2001-05-12",206
"2001-05-13",257
"2001-05-14",414
"2001-05-15",421
"2001-05-16",334
"2001-05-17",267
"2001-05-18",235
"2001-05-19",244
"2001-05-20",149
"2001-05-21",466
"2001-05-22",801
