"state","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"1","2554","3078","17721","2247","62563","12791","3026","12386","33956","21673","6790","1048","32422","3811","1383","695","2140","5813","1000","8308","10848","14107","11924","930","19374","789","1731","13774","1245","9751","2931","22642","15621","466","15114","4032","4968","20260","2467","1871","354","10514","60902","6546","362","3171","9431","88","2622","128"
"2","2276","2655","16061","2009","56557","11550","2704","10831","31480","19467","6071","944","29274","3381","1238","598","1870","5399","869","7605","9811","12849","10764","866","17262","721","1555","12561","1105","9150","2634","20133","13970","396","13463","3593","4467","18305","2248","1541","309","9532","54756","5891","340","2849","8418","83","2328","120"
"3","2520","3064","17982","2275","63022","13267","2965","12182","35024","21641","6778","1053","33089","3740","1498","700","2085","5946","906","8404","10335","14497","12279","969","19530","803","1741","14021","1283","9880","2979","21638","15394","443","14888","4024","5002","20261","2392","1733","357","10543","61441","6610","353","3240","9496","89","2655","132"
"4","2452","3047","17162","2139","61693","11758","3064","12260","33886","21355","6580","1009","32187","3640","1345","661","2000","5737","1092","8397","11180","14527","11829","939","18792","735","1722","13368","1337","10022","2980","22598","15377","345","14663","3897","4839","20182","2483","1774","362","10178","59459","6294","454","3213","9382","88","2485","2"
"5","2499","3703","17446","2203","64121","12735","3202","12658","33062","21802","6709","1043","34084","3859","1525","705","2152","5845","1133","8824","11812","15129","12653","902","19936","729","1816","13725","1404","10268","3090","23536","16000","367","15036","4018","5015","20940","2620","1778","398","10620","61071","6428","441","3325","9997","102","2564",NA
"6","2330","4460","16959","2142","63379","12621","3097","12024","30934","21422","6677","1031","32900","3675","1468","677","2073","5306","1111","8378","11096","14768","12481","852","19356","748","1757","13383","1349","9879","3019","22010","15615","383","14245","3948","5056","19757","2568","1687","407","10376","58705","6325","403","3283","10502","101","2449","68"
"7","2413","4936","17636","2232","66141","13244","3176","12481","31970","22230","7033","1092","34805","3737","1566","704","2192","5521","1336","8737","11641","15372","13519","886","20266","837","1732","13921","1457","10363","3182","23047","16339","372","14621","4096","5349","20330","2667","1727","427","10679","61451","6556","419","3399","11310","101","2550","108"
"8","2457","4923","17850","2261","66722","13424","3215","12700","32088","22435","6947","1072","34888","3757","1529","697","2155","5588","1365","8762","11761","15401","13566","907","20302","843","1705","14067","1454","10714","3253","23284","16485","387","14890","4145","5414","20474","2635","1710","429","10754","61976","6478","409","3444","11353","103","2560","109"
"9","1791","3384","14286","1779","49178","8969","2294","6024","24586","17346","5429","811","25717","2931","1184","507","1561","4392","959","7020","7622","11383","9604","647","15983","613","1342","11613","1114","7233","2618","15406","12403","323","11525","3125","3837","15218","1998","1292","288","8206","46461","5268","291","2487","7815","68","1972","57"
"10","1898","3330","16359","2091","54919","10639","2443","6795","26881","18961","5136","970","30101","3231","1422","609","1719","5002","1139","7756","8794","12727","10518","709","18338","711","1596","13176","1228","7861","3059","16959","13414","331","12463","3503","4325","17093","2271","1279","335","8407","53534","5814","262","2767","8361","23","2130","1"
"11","1803","3069","14272","1887","49733","9265","2405","8144","26256","18543","1297","862","28127","3065","1196","482","1773","4753","792","7440","8134","11998","10688","545","16409","679","1497","12381","1307","7810","2894","15633","13934","422","12526","3470","4145","17408","2163","1173","322","8005","50569","5634","205","2746","8165",NA,"2064",NA
"12","1887","3148","14887","1891","50180","10032","2645","8208","27782","19475","1361","894","28911","3119","1241","532","1784","4860","787","7367","8400","12458","11479","600","16542","743","1442","12518","1260","8226","2894","15600","14376","446","12972","3481","4344","17731","2138","1186","246","8312","51846","5920","215","2795","8550",NA,"2206","65"
