"day","flights"
"2001-01-01",14720
"2001-01-02",16734
"2001-01-03",16822
"2001-01-04",16916
"2001-01-05",16523
"2001-01-06",14700
"2001-01-07",16160
"2001-01-08",16808
"2001-01-09",16762
"2001-01-10",16599
"2001-01-11",16611
"2001-01-12",16715
"2001-01-13",14808
"2001-01-14",16109
"2001-01-15",16669
"2001-01-16",16691
"2001-01-17",16855
"2001-01-18",16472
"2001-01-19",16666
"2001-01-20",14217
"2001-01-21",15272
"2001-01-22",16932
"2001-01-23",16875
"2001-01-24",16968
"2001-01-25",16905
"2001-01-26",16787
"2001-01-27",14612
"2001-01-28",15971
"2001-01-29",16194
"2001-01-30",16485
"2001-01-31",16810
"2001-02-01",16968
"2001-02-02",16951
"2001-02-03",14790
"2001-02-04",16106
"2001-02-05",15691
"2001-02-06",16500
"2001-02-07",16562
"2001-02-08",16707
"2001-02-09",16301
"2001-02-10",14605
"2001-02-11",16048
"2001-02-12",16740
"2001-02-13",16478
"2001-02-14",16305
"2001-02-15",16748
"2001-02-16",16896
"2001-02-17",14713
"2001-02-18",16050
"2001-02-19",16860
"2001-02-20",16853
"2001-02-21",16944
"2001-02-22",16494
"2001-02-23",16801
"2001-02-24",14423
"2001-02-25",15447
"2001-02-26",16853
"2001-02-27",16634
"2001-02-28",16391
"2001-03-01",16871
"2001-03-02",16939
"2001-03-03",14820
"2001-03-04",15635
"2001-03-05",14596
"2001-03-06",15327
"2001-03-07",16925
"2001-03-08",16975
"2001-03-09",16940
"2001-03-10",14913
"2001-03-11",16296
"2001-03-12",16802
"2001-03-13",16781
"2001-03-14",16933
"2001-03-15",16947
"2001-03-16",16927
"2001-03-17",14924
"2001-03-18",16326
"2001-03-19",17044
"2001-03-20",16738
"2001-03-21",16652
"2001-03-22",16814
"2001-03-23",17042
"2001-03-24",14994
"2001-03-25",16355
"2001-03-26",16958
"2001-03-27",17011
"2001-03-28",17141
"2001-03-29",17045
"2001-03-30",16763
"2001-03-31",14715
"2001-04-01",16212
"2001-04-02",17021
"2001-04-03",16958
"2001-04-04",16932
"2001-04-05",16930
"2001-04-06",16826
"2001-04-07",14791
"2001-04-08",16216
"2001-04-09",16763
"2001-04-10",16794
"2001-04-11",15842
"2001-04-12",16773
"2001-04-13",16839
"2001-04-14",14817
"2001-04-15",16097
"2001-04-16",17113
"2001-04-17",17146
"2001-04-18",17076
"2001-04-19",17223
"2001-04-20",17181
"2001-04-21",14935
"2001-04-22",16261
"2001-04-23",17008
"2001-04-24",17103
"2001-04-25",17168
"2001-04-26",17175
"2001-04-27",17217
"2001-04-28",15009
"2001-04-29",16388
"2001-04-30",17156
"2001-05-01",17071
"2001-05-02",17121
"2001-05-03",17175
"2001-05-04",17092
"2001-05-05",15062
"2001-05-06",16432
"2001-05-07",17010
"2001-05-08",17131
"2001-05-09",17153
"2001-05-10",17208
"2001-05-11",17183
"2001-05-12",15104
"2001-05-13",16356
"2001-05-14",17022
"2001-05-15",16992
"2001-05-16",17090
"2001-05-17",17178
"2001-05-18",17244
"2001-05-19",15048
"2001-05-20",16469
"2001-05-21",16991
"2001-05-22",16625
"2001-05-23",17021
"2001-05-24",17177
"2001-05-25",17279
"2001-05-26",14192
"2001-05-27",14134
"2001-05-28",16072
"2001-05-29",17219
"2001-05-30",17141
"2001-05-31",17038
"2001-06-01",17095
"2001-06-02",15131
"2001-06-03",16268
"2001-06-04",16967
"2001-06-05",16738
"2001-06-06",16678
"2001-06-07",17136
"2001-06-08",17190
"2001-06-09",14656
"2001-06-10",16574
"2001-06-11",17077
"2001-06-12",16836
"2001-06-13",16892
"2001-06-14",16791
"2001-06-15",16404
"2001-06-16",15373
"2001-06-17",16464
"2001-06-18",17281
"2001-06-19",17239
"2001-06-20",16877
"2001-06-21",16994
"2001-06-22",16468
"2001-06-23",15363
"2001-06-24",16701
"2001-06-25",17262
"2001-06-26",17246
"2001-06-27",17240
"2001-06-28",17313
"2001-06-29",17425
"2001-06-30",15561
"2001-07-01",15772
"2001-07-02",16718
"2001-07-03",16519
"2001-07-04",15196
"2001-07-05",16857
"2001-07-06",17048
"2001-07-07",15858
"2001-07-08",16768
"2001-07-09",17337
"2001-07-10",16968
"2001-07-11",17228
"2001-07-12",17362
"2001-07-13",17451
"2001-07-14",15799
"2001-07-15",16819
"2001-07-16",17342
"2001-07-17",17185
"2001-07-18",17192
"2001-07-19",17348
"2001-07-20",17428
"2001-07-21",15705
"2001-07-22",16646
"2001-07-23",17015
"2001-07-24",17209
"2001-07-25",17234
"2001-07-26",17152
"2001-07-27",17439
"2001-07-28",15853
"2001-07-29",16719
"2001-07-30",17360
"2001-07-31",17379
"2001-08-01",17429
"2001-08-02",17014
"2001-08-03",17345
"2001-08-04",15723
"2001-08-05",16786
"2001-08-06",17413
"2001-08-07",17313
"2001-08-08",17356
"2001-08-09",17239
"2001-08-10",16722
"2001-08-11",15537
"2001-08-12",16581
"2001-08-13",16892
"2001-08-14",17338
"2001-08-15",17356
"2001-08-16",17397
"2001-08-17",17218
"2001-08-18",15729
"2001-08-19",16824
"2001-08-20",17318
"2001-08-21",17281
"2001-08-22",16964
"2001-08-23",17339
"2001-08-24",17436
"2001-08-25",15657
"2001-08-26",16801
"2001-08-27",17059
"2001-08-28",17012
"2001-08-29",17405
"2001-08-30",17245
"2001-08-31",17118
"2001-09-01",14275
"2001-09-02",14035
"2001-09-03",16506
"2001-09-04",17069
"2001-09-05",17203
"2001-09-06",17205
"2001-09-07",16955
"2001-09-08",15172
"2001-09-09",16377
"2001-09-10",16783
"2001-09-11",2518
"2001-09-12",1
"2001-09-13",1437
"2001-09-14",7692
"2001-09-15",9525
"2001-09-16",12125
"2001-09-17",13597
"2001-09-18",13691
"2001-09-19",14212
"2001-09-20",14141
"2001-09-21",14120
"2001-09-22",12306
"2001-09-23",13722
"2001-09-24",14186
"2001-09-25",14208
"2001-09-26",14240
"2001-09-27",14275
"2001-09-28",14319
"2001-09-29",12463
"2001-09-30",13602
"2001-10-01",14259
"2001-10-02",14301
"2001-10-03",14284
"2001-10-04",14474
"2001-10-05",14399
"2001-10-06",12682
"2001-10-07",13741
"2001-10-08",14320
"2001-10-09",14309
"2001-10-10",14230
"2001-10-11",14254
"2001-10-12",14172
"2001-10-13",12507
"2001-10-14",13733
"2001-10-15",14322
"2001-10-16",14301
"2001-10-17",14329
"2001-10-18",14376
"2001-10-19",14408
"2001-10-20",12672
"2001-10-21",13767
"2001-10-22",14324
"2001-10-23",14232
"2001-10-24",13950
"2001-10-25",14182
"2001-10-26",14359
"2001-10-27",12539
"2001-10-28",13629
"2001-10-29",14322
"2001-10-30",14161
"2001-10-31",13852
"2001-11-01",13954
"2001-11-02",14083
"2001-11-03",12497
"2001-11-04",13523
"2001-11-05",14174
"2001-11-06",14202
"2001-11-07",14220
"2001-11-08",14253
"2001-11-09",14284
"2001-11-10",12566
"2001-11-11",13541
"2001-11-12",13762
"2001-11-13",14187
"2001-11-14",14227
"2001-11-15",14207
"2001-11-16",13809
"2001-11-17",12364
"2001-11-18",13482
"2001-11-19",14125
"2001-11-20",14250
"2001-11-21",14293
"2001-11-22",10811
"2001-11-23",10888
"2001-11-24",12377
"2001-11-25",13682
"2001-11-26",14237
"2001-11-27",14215
"2001-11-28",13686
"2001-11-29",14052
"2001-11-30",14139
"2001-12-01",12224
"2001-12-02",13270
"2001-12-03",14118
"2001-12-04",14057
"2001-12-05",14111
"2001-12-06",14150
"2001-12-07",14179
"2001-12-08",12445
"2001-12-09",13432
"2001-12-10",14094
"2001-12-11",14058
"2001-12-12",13985
"2001-12-13",14034
"2001-12-14",14077
"2001-12-15",12381
"2001-12-16",13382
"2001-12-17",14203
"2001-12-18",14180
"2001-12-19",14345
"2001-12-20",14407
"2001-12-21",14492
"2001-12-22",12735
"2001-12-23",13044
"2001-12-24",11694
"2001-12-25",11867
"2001-12-26",14246
"2001-12-27",14255
"2001-12-28",14167
"2001-12-29",12560
"2001-12-30",13026
"2001-12-31",12764
