"state","Cancel/Total"
"Alabama",0.0309322950465066
"Alaska",0.0367544451946883
"Arizona",0.0257563569298383
"Arkansas",0.0425515718961711
"California",0.0380693147306027
"Colorado",0.0396607547453949
"Connecticut",0.0362843068261787
"District of Columbia",0.0740101886433902
"Florida",0.0270872779969747
"Georgia",0.038645401224571
"Hawaii",0.024187894367843
"Idaho",0.0204537926465717
"Illinois",0.0511394995425873
"Indiana",0.0369417977270118
"Iowa",0.0549006207642804
"Kansas",0.038867013844786
"Kentucky",0.0239202657807309
"Louisiana",0.0249528904017993
"Maine",0.0784386068476978
"Maryland",0.0244299838072153
"Massachusetts",0.0813677282699145
"Michigan",0.0359274798247098
"Minnesota",0.03420182081636
"Mississippi",0.0247024702470247
"Missouri",0.0256560994656442
"Montana",0.0199277345888536
"Nebraska",0.0253151990469572
"Nevada",0.0214105793450882
"New Hampshire",0.0349559170495468
"New Jersey",0.054321008660734
"New Mexico",0.0197252262193776
"New York",0.0679243687465646
"North Carolina",0.037752489943425
"North Dakota",0.0237747653806048
"Ohio",0.0367403171001372
"Oklahoma",0.0330823539449267
"Oregon",0.0281981920284892
"Pennsylvania",0.0455297216046359
"Rhode Island",0.0381064294107772
"South Carolina",0.0487520292207792
"South Dakota",0.0275608635737253
"Tennessee",0.0275018842642995
"Texas",0.0352457173243124
"Utah",0.0253042455634985
"Vermont",0.064835659612787
"Virginia",0.0467054364193364
"Washington",0.0303666001788294
"West Virginia",0.0641592920353982
"Wisconsin",0.0459263709489002
"Wyoming",0.0354090354090354
