"state","Cancel/Total"
"Alabama",0.0288752703677001
"Alaska",0.0355069528824085
"Arizona",0.0283724124399097
"Arkansas",0.0382784231574938
"California",0.0376835650918318
"Colorado",0.0393426465253489
"Connecticut",0.0333220663624585
"District of Columbia",0.0700639736794005
"Florida",0.0258966250304075
"Georgia",0.0418604651162791
"Hawaii",0.0236075625958099
"Idaho",0.0187976151043392
"Illinois",0.0541616584645545
"Indiana",0.0348311252956168
"Iowa",0.0506704707560628
"Kansas",0.0346975088967972
"Kentucky",0.0212889571315931
"Louisiana",0.0226184504537371
"Maine",0.0746643057400029
"Maryland",0.0241569700200135
"Massachusetts",0.0809851963357716
"Michigan",0.0367545359579348
"Minnesota",0.0354962014756464
"Mississippi",0.0215301421990787
"Missouri",0.0254008349998246
"Montana",0.0180669474617601
"Nebraska",0.0223072337042925
"Nevada",0.0200981148375552
"New Hampshire",0.0333333333333333
"New Jersey",0.0543831583246822
"New Mexico",0.018659085263187
"New York",0.0672742788609386
"North Carolina",0.0380675704755756
"North Dakota",0.0229405630865485
"Ohio",0.0359762203840165
"Oklahoma",0.0302959185850526
"Oregon",0.0271908496284374
"Pennsylvania",0.0460680554625226
"Rhode Island",0.0364899795226426
"South Carolina",0.0464762291338982
"South Dakota",0.0268965517241379
"Tennessee",0.0266458992781658
"Texas",0.0362901971650978
"Utah",0.0246417129220668
"Vermont",0.0634706279540851
"Virginia",0.0445223260643821
"Washington",0.0290126747725592
"West Virginia",0.0631229235880399
"Wisconsin",0.0417028380634391
"Wyoming",0.0378510378510378
