"state","Cancel/Total"
"Alabama",0
"Alaska",0.0388349514563107
"Arizona",0.0514096185737977
"Arkansas",0.0379746835443038
"California",0.0894833948339483
"Colorado",0.0526315789473684
"Connecticut",0.715686274509804
"District of Columbia",0.302325581395349
"Florida",0.149737302977233
"Georgia",0.150684931506849
"Hawaii",0
"Idaho",0
"Illinois",0.12489158716392
"Indiana",0.0393700787401575
"Iowa",0
"Kansas",0
"Kentucky",0.0142857142857143
"Louisiana",0.0203045685279188
"Maine",0.805555555555556
"Maryland",0.144366197183099
"Massachusetts",0.7575
"Michigan",0.130260521042084
"Minnesota",0.0714285714285714
"Mississippi",0
"Missouri",0.0511278195488722
"Montana",0
"Nebraska",0
"Nevada",0.0236051502145923
"New Hampshire",0.454545454545455
"New Jersey",0.613698630136986
"New Mexico",0
"New York",0.725465838509317
"North Carolina",0.112810707456979
"North Dakota",0.0666666666666667
"Ohio",0.149312377210216
"Oklahoma",0.0072463768115942
"Oregon",0.0538922155688623
"Pennsylvania",0.266857962697274
"Rhode Island",0.482352941176471
"South Carolina",0.0172413793103448
"South Dakota",0.166666666666667
"Tennessee",0.0676056338028169
"Texas",0.0475737392959087
"Utah",0.0458715596330275
"Vermont",0.692307692307692
"Virginia",0.15929203539823
"Washington",0.0280373831775701
"West Virginia",0
"Wisconsin",0.0111111111111111
"Wyoming",0
