"state","mean/flights"
"Alabama",0.000245280111086846
"Alaska",0.000168674995921128
"Arizona",9.2499023743696e-06
"Arkansas",0.000242459952397224
"California",4.79376783962679e-06
"Colorado",1.29685311036535e-05
"Connecticut",6.70746699802759e-05
"District of Columbia",4.08390778377759e-06
"Florida",1.49188516648598e-05
"Georgia",2.89670227524038e-05
"Hawaii",0.000235229449871803
"Idaho",0.000507528143256834
"Illinois",9.61631904458067e-06
"Indiana",0.000130315440175183
"Iowa",0.000288021084882686
"Kansas",0.000452807287234366
"Kentucky",0.000295776354596468
"Louisiana",7.39373733198978e-05
"Maine",0.000556514909953005
"Maryland",5.1155088409413e-05
"Massachusetts",-1.69385228985332e-06
"Michigan",1.24528384169095e-05
"Minnesota",6.95883164401811e-06
"Mississippi",0.000871076151954969
"Missouri",9.59000482653909e-06
"Montana",0.000512264087089729
"Nebraska",0.000204065134830286
"Nevada",2.9683551541922e-05
"New Hampshire",0.000216391075769314
"New Jersey",1.89632842760695e-05
"New Mexico",9.70521065060182e-05
"New York",1.52631872570688e-05
"North Carolina",1.46342291582158e-05
"North Dakota",0.000931971889545308
"Ohio",2.46432545994916e-05
"Oklahoma",0.000114539399336158
"Oregon",7.45322922322481e-05
"Pennsylvania",1.18333513246736e-05
"Rhode Island",7.42183460150883e-05
"South Carolina",0.000397931781052054
"South Dakota",0.00134375035332693
"Tennessee",2.75854752799194e-05
"Texas",4.07643606089786e-06
"Utah",6.17888323176009e-05
"Vermont",0.00125475388264875
"Virginia",0.000136079321665188
"Washington",3.88682828869658e-05
"Wisconsin",0.000258773309108899
"Wyoming",0.00729209296887042
