"state","min","mean","max"
"Alabama",-41,5.55853787745011,762
"Alaska",-65,7.31526589810338,702
"Arizona",-90,1.73717791541848,1030
"Arkansas",-54,5.48808102251117,626
"California",-80,3.03939262335857,1309
"Colorado",-60,1.69328813767293,953
"Connecticut",-50,2.16664598970287,377
"District of Columbia",-65,0.455233200657688,985
"Florida",-987,4.80060300757027,1407
"Georgia",-79,6.73213885681791,747
"Hawaii",-75,4.1461542834404,544
"Idaho",-37,5.5554030560893,472
"Illinois",-134,3.61403387229144,1342
"Indiana",-50,4.73514183420545,782
"Iowa",-36,4.03287123052737,348
"Kansas",-31,2.39716177861873,461
"Kentucky",-55,5.74693456980938,434
"Louisiana",-57,4.27919941826241,686
"Maine",-53,5.63693952291399,399
"Maryland",-60,4.38690691672603,496
"Massachusetts",-67,-0.180534164757147,820
"Michigan",-61,1.96454733581322,1946
"Minnesota",-65,0.99939260655566,2137
"Mississippi",-35,6.81704196519959,741
"Missouri",-283,1.83170051187379,1421
"Montana",-45,4.36705134243994,691
"Nebraska",-45,3.56358944954128,484
"Nevada",-68,4.56337111274583,861
"New Hampshire",-38,3.2607971207678,795
"New Jersey",-73,1.86181525022451,1143
"New Mexico",-55,3.48941143731738,731
"New York",-67,3.0948249009923,1076
"North Carolina",-79,2.43882355767498,924
"North Dakota",-33,5.41009681881051,542
"Ohio",-58,3.68907057028929,874
"Oklahoma",-40,4.78453978906999,683
"Oregon",-56,3.91749181201919,708
"Pennsylvania",-67,2.28408530603983,1100
"Rhode Island",-65,1.9990711499164,421
"South Carolina",-39,5.31716445841755,431
"South Dakota",-29,4.46796992481203,743
"Tennessee",-59,2.80707037900932,1282
"Texas",-240,2.60228671750355,1428
"Utah",-52,4.26590098320717,667
"Vermont",-42,3.77304492512479,302
"Virginia",-60,4.38883028234564,460
"Washington",-66,4.36242059810149,836
"Wisconsin",-38,7.03035326187056,780
"Wyoming",-44,7.77337110481586,846
