"state","cancellations"
"Alabama",241
"Alaska",1519
"Arizona",2011
"Arkansas",379
"California",5798
"Colorado",792
"Connecticut",388
"District of Columbia",1863
"Florida",1561
"Georgia",2606
"Hawaii",45
"Idaho",57
"Illinois",7250
"Indiana",611
"Iowa",322
"Kansas",88
"Kentucky",183
"Louisiana",707
"Maine",316
"Maryland",773
"Massachusetts",2141
"Michigan",2697
"Minnesota",1903
"Mississippi",97
"Missouri",1954
"Montana",66
"Nebraska",146
"Nevada",1001
"New Hampshire",174
"New Jersey",1370
"New Mexico",290
"New York",3786
"North Carolina",2008
"North Dakota",75
"Ohio",2136
"Oklahoma",584
"Oregon",427
"Pennsylvania",2977
"Rhode Island",240
"South Carolina",202
"South Dakota",38
"Tennessee",1041
"Texas",9173
"Utah",416
"Vermont",31
"Virginia",545
"Washington",1106
"Wisconsin",721
"Wyoming",13
