"","2002-01-01","2002-01-02","2002-01-03","2002-01-04","2002-01-05","2002-01-06","2002-01-07","2002-01-08","2002-01-09","2002-01-10","2002-01-11","2002-01-12","2002-01-13","2002-01-14","2002-01-15","2002-01-16","2002-01-17","2002-01-18","2002-01-19","2002-01-20","2002-01-21","2002-01-22","2002-01-23","2002-01-24","2002-01-25","2002-01-26","2002-01-27","2002-01-28","2002-01-29","2002-01-30","2002-01-31","2002-02-01","2002-02-02","2002-02-03","2002-02-04","2002-02-05","2002-02-06","2002-02-07","2002-02-08","2002-02-09","2002-02-10","2002-02-11","2002-02-12","2002-02-13","2002-02-14","2002-02-15","2002-02-16","2002-02-17","2002-02-18","2002-02-19","2002-02-20","2002-02-21","2002-02-22","2002-02-23","2002-02-24","2002-02-25","2002-02-26","2002-02-27","2002-02-28","2002-03-01","2002-03-02","2002-03-03","2002-03-04","2002-03-05","2002-03-06","2002-03-07","2002-03-08","2002-03-09","2002-03-10","2002-03-11","2002-03-12","2002-03-13","2002-03-14","2002-03-15","2002-03-16","2002-03-17","2002-03-18","2002-03-19","2002-03-20","2002-03-21","2002-03-22","2002-03-23","2002-03-24","2002-03-25","2002-03-26","2002-03-27","2002-03-28","2002-03-29","2002-03-30","2002-03-31","2002-04-01","2002-04-02","2002-04-03","2002-04-04","2002-04-05","2002-04-06","2002-04-07","2002-04-08","2002-04-09","2002-04-10","2002-04-11","2002-04-12","2002-04-13","2002-04-14","2002-04-15","2002-04-16","2002-04-17","2002-04-18","2002-04-19","2002-04-20","2002-04-21","2002-04-22","2002-04-23","2002-04-24","2002-04-25","2002-04-26","2002-04-27","2002-04-28","2002-04-29","2002-04-30","2002-05-01","2002-05-02","2002-05-03","2002-05-04","2002-05-05","2002-05-06","2002-05-07","2002-05-08","2002-05-09","2002-05-10","2002-05-11","2002-05-12","2002-05-13","2002-05-14","2002-05-15","2002-05-16","2002-05-17","2002-05-18","2002-05-19","2002-05-20","2002-05-21","2002-05-22","2002-05-23","2002-05-24","2002-05-25","2002-05-26","2002-05-27","2002-05-28","2002-05-29","2002-05-30","2002-05-31","2002-06-01","2002-06-02","2002-06-03","2002-06-04","2002-06-05","2002-06-06","2002-06-07","2002-06-08","2002-06-09","2002-06-10","2002-06-11","2002-06-12","2002-06-13","2002-06-14","2002-06-15","2002-06-16","2002-06-17","2002-06-18","2002-06-19","2002-06-20","2002-06-21","2002-06-22","2002-06-23","2002-06-24","2002-06-25","2002-06-26","2002-06-27","2002-06-28","2002-06-29","2002-06-30","2002-07-01","2002-07-02","2002-07-03","2002-07-04","2002-07-05","2002-07-06","2002-07-07","2002-07-08","2002-07-09","2002-07-10","2002-07-11","2002-07-12","2002-07-13","2002-07-14","2002-07-15","2002-07-16","2002-07-17","2002-07-18","2002-07-19","2002-07-20","2002-07-21","2002-07-22","2002-07-23","2002-07-24","2002-07-25","2002-07-26","2002-07-27","2002-07-28","2002-07-29","2002-07-30","2002-07-31","2002-08-01","2002-08-02","2002-08-03","2002-08-04","2002-08-05","2002-08-06","2002-08-07","2002-08-08","2002-08-09","2002-08-10","2002-08-11","2002-08-12","2002-08-13","2002-08-14","2002-08-15","2002-08-16","2002-08-17","2002-08-18","2002-08-19","2002-08-20","2002-08-21","2002-08-22","2002-08-23","2002-08-24","2002-08-25","2002-08-26","2002-08-27","2002-08-28","2002-08-29","2002-08-30","2002-08-31","2002-09-01","2002-09-02","2002-09-03","2002-09-04","2002-09-05","2002-09-06","2002-09-07","2002-09-08","2002-09-09","2002-09-10","2002-09-11","2002-09-12","2002-09-13","2002-09-14","2002-09-15","2002-09-16","2002-09-17","2002-09-18","2002-09-19","2002-09-20","2002-09-21","2002-09-22","2002-09-23","2002-09-24","2002-09-25","2002-09-26","2002-09-27","2002-09-28","2002-09-29","2002-09-30","2002-10-01","2002-10-02","2002-10-03","2002-10-04","2002-10-05","2002-10-06","2002-10-07","2002-10-08","2002-10-09","2002-10-10","2002-10-11","2002-10-12","2002-10-13","2002-10-14","2002-10-15","2002-10-16","2002-10-17","2002-10-18","2002-10-19","2002-10-20","2002-10-21","2002-10-22","2002-10-23","2002-10-24","2002-10-25","2002-10-26","2002-10-27","2002-10-28","2002-10-29","2002-10-30","2002-10-31","2002-11-01","2002-11-02","2002-11-03","2002-11-04","2002-11-05","2002-11-06","2002-11-07","2002-11-08","2002-11-09","2002-11-10","2002-11-11","2002-11-12","2002-11-13","2002-11-14","2002-11-15","2002-11-16","2002-11-17","2002-11-18","2002-11-19","2002-11-20","2002-11-21","2002-11-22","2002-11-23","2002-11-24","2002-11-25","2002-11-26","2002-11-27","2002-11-28","2002-11-29","2002-11-30","2002-12-01","2002-12-02","2002-12-03","2002-12-04","2002-12-05","2002-12-06","2002-12-07","2002-12-08","2002-12-09","2002-12-10","2002-12-11","2002-12-12","2002-12-13","2002-12-14","2002-12-15","2002-12-16","2002-12-17","2002-12-18","2002-12-19","2002-12-20","2002-12-21","2002-12-22","2002-12-23","2002-12-24","2002-12-25","2002-12-26","2002-12-27","2002-12-28","2002-12-29","2002-12-30","2002-12-31"
"Alabama",2,10,8,2,0,3,0,1,1,0,1,0,1,0,1,0,0,0,3,1,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,4,6,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,2,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,1,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,4,1,0,1,2,0,1,2,0,0,0,3,2,0,2,4,0,4,1,0,0,0,2,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,1,0,0,2,1,4,0,2,0,0,0,0,0,1,0,1,1,0,2,0,1,0,2,0,0,1,1,0,1,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,1,1,1,1,0,0,0,1,0,0,3,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,4,0,1,1,0,0,1,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,3,3,1,0,1,0,4,2,0,5,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,3,0
"Alaska",4,1,4,6,10,5,0,7,6,6,5,2,1,8,4,2,5,6,2,2,3,6,6,4,3,0,2,15,1,3,3,6,4,2,10,0,2,3,7,4,6,6,11,19,8,12,8,6,1,8,4,0,8,2,9,7,2,2,1,0,1,0,1,4,11,7,5,6,8,4,11,8,8,10,6,29,2,9,5,6,3,6,2,2,7,7,4,4,4,6,9,10,3,8,9,6,4,7,3,3,6,4,5,4,2,1,1,0,3,0,0,0,4,0,3,2,1,2,7,4,2,0,2,0,8,1,1,3,3,2,2,1,0,2,0,1,8,0,1,0,2,4,4,1,0,2,6,2,2,2,0,5,2,5,6,6,3,7,2,3,1,5,1,1,6,2,3,0,1,2,0,0,10,6,2,3,2,5,4,2,0,3,6,3,6,3,7,5,2,1,2,3,2,3,2,7,3,8,10,3,6,6,9,11,7,7,1,1,0,4,4,1,3,7,2,2,3,2,1,6,6,0,0,2,1,3,9,1,4,0,0,0,2,7,2,4,1,3,3,5,7,5,2,3,3,5,2,1,6,4,0,0,1,4,6,5,1,0,0,1,2,0,4,3,6,7,3,6,7,3,4,3,2,4,9,4,1,8,2,2,0,8,0,1,7,3,4,2,7,10,10,15,7,4,11,10,11,3,4,5,17,15,11,7,2,9,10,2,3,3,5,5,0,3,9,2,4,3,2,10,0,2,1,3,0,11,12,3,0,4,2,0,3,2,10,14,8,15,6,7,7,8,2,6,7,2,0,1,1,1,0,3,1,2,0,1,5,3,0,0,7,5,2,6,7
"Arizona",0,6,9,5,2,3,4,0,3,3,6,1,2,9,5,4,7,4,1,4,2,0,4,8,3,0,7,9,3,7,8,1,1,1,5,13,4,3,1,1,3,3,6,2,1,4,2,3,2,2,1,4,0,2,1,5,8,4,3,3,16,13,11,3,4,2,6,3,0,3,5,4,5,3,6,1,4,11,5,2,2,1,0,4,3,4,1,6,2,1,0,3,1,1,0,2,5,7,7,7,6,1,1,3,13,12,5,2,3,1,2,6,4,7,3,2,3,4,4,7,6,9,2,4,3,15,13,10,5,5,1,3,4,3,14,4,3,1,2,6,3,5,4,0,0,0,2,2,3,5,5,8,5,9,11,9,6,10,3,18,19,17,8,6,4,1,10,10,9,8,3,3,1,3,7,14,10,7,6,0,1,5,7,0,2,1,0,3,5,10,10,3,4,3,55,29,4,4,4,0,2,2,5,12,6,14,7,2,4,12,3,1,1,3,0,2,9,4,2,8,3,18,3,16,14,5,7,6,4,3,20,7,7,2,8,1,3,6,7,21,10,3,2,1,4,5,6,15,19,10,5,9,13,7,12,3,8,3,7,6,1,6,13,5,4,5,10,2,5,2,4,3,4,7,6,8,6,10,13,19,13,15,3,7,2,2,3,8,9,8,11,2,1,14,7,7,15,8,10,7,9,13,8,9,8,11,4,7,10,8,2,11,5,2,3,4,7,5,6,4,4,11,2,0,7,5,4,2,3,7,1,0,0,4,0,2,4,12,17,5,7,8,11,7,12,3,2,3,2,8,3,6,3,2,0,0,3,1,6,5,0,2,1,7,2
"Arkansas",0,5,7,4,0,0,3,2,0,0,0,1,0,0,0,1,1,0,1,1,1,0,3,7,0,0,1,1,0,1,3,2,0,0,2,10,8,0,2,0,1,0,1,0,1,1,0,1,0,3,0,1,0,1,2,1,0,0,0,1,7,1,0,0,1,1,1,1,0,0,2,1,0,1,0,2,0,9,2,1,2,0,2,2,0,1,0,1,1,0,1,0,0,1,1,1,10,5,0,0,1,1,5,1,0,3,2,0,4,0,1,1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,2,0,2,0,0,2,6,1,0,0,7,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,3,3,0,0,0,0,0,2,4,1,4,3,1,0,0,2,0,1,1,0,0,0,2,3,1,0,1,0,2,2,3,1,1,0,1,1,0,1,0,2,0,1,3,1,1,2,1,0,0,0,1,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,1,1,5,3,2,4,0,1,2,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,1,0,0,1,1,1,1,2,1,2,2,4,0,2,0,1,0,3,0,0,1,1,0,1,1,0,1,2,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,1,3,0,0,2,3,0,0,0,1,1,2,0,1,0,0,0,2,5,3,2,1,1,1,0,14,1
"California",4,11,44,18,4,11,50,18,17,15,23,6,18,29,10,21,15,5,8,15,5,13,17,27,9,9,21,30,13,44,46,7,3,15,29,55,20,22,7,6,11,8,21,9,3,11,6,8,9,13,8,18,5,3,4,16,25,32,15,17,31,12,32,8,22,12,11,16,6,19,31,24,21,15,20,25,27,39,23,4,7,1,2,9,6,17,6,5,2,5,7,24,11,9,6,4,14,21,23,13,17,10,15,9,44,21,9,12,7,9,5,14,15,16,13,15,9,7,18,19,19,26,14,15,6,25,21,19,14,11,15,8,11,15,36,14,18,5,5,31,15,20,12,3,5,9,8,5,14,11,12,10,9,21,38,29,20,13,5,9,29,38,19,17,5,10,9,15,22,21,15,9,15,5,22,29,19,24,21,3,5,31,23,10,13,6,3,1,20,17,32,22,12,15,29,42,11,25,22,8,16,4,16,20,23,22,8,17,3,16,10,19,9,13,2,4,12,27,24,18,7,14,2,23,30,19,12,8,6,3,17,7,11,12,13,7,6,9,28,22,10,6,9,14,5,18,8,22,16,15,5,12,20,17,15,14,5,10,25,23,16,18,18,8,4,18,51,18,14,10,12,7,13,18,15,19,16,18,18,56,42,30,7,11,10,6,5,13,20,20,11,12,4,51,16,22,31,12,20,13,16,32,29,24,17,18,13,12,49,40,44,37,19,5,16,29,27,33,15,17,8,13,16,17,20,7,7,9,27,9,5,2,8,10,7,8,19,26,44,18,17,6,19,23,32,18,25,20,11,55,16,10,23,3,2,10,7,2,9,13,6,5,1,11,5
"Colorado",2,2,12,5,1,0,3,1,3,3,2,1,1,1,1,1,0,2,2,3,4,2,2,4,1,1,4,5,6,16,9,4,1,0,3,17,4,2,3,4,1,2,2,0,0,3,1,1,1,2,1,1,1,1,1,3,4,1,2,7,13,4,1,3,0,2,14,3,4,3,3,2,5,0,0,0,1,8,4,1,0,0,1,2,3,2,2,1,0,0,1,1,2,0,0,0,4,2,0,0,2,2,6,4,3,4,2,0,1,2,3,3,3,1,1,1,3,1,2,2,3,3,1,3,3,6,5,0,1,1,3,1,1,6,6,4,2,2,0,0,1,1,0,3,0,1,0,1,5,1,0,2,3,1,11,4,3,5,1,2,4,12,1,4,0,2,4,2,6,2,3,6,3,2,1,1,5,3,6,1,0,5,2,1,1,0,2,1,1,1,3,3,6,1,2,2,3,0,2,3,1,0,0,9,7,6,2,1,0,2,2,4,0,1,0,1,5,1,2,2,1,4,1,1,7,1,1,1,1,1,2,2,3,6,3,1,2,3,7,6,5,1,0,3,1,0,2,2,1,2,0,2,2,1,1,0,2,0,1,2,2,0,1,1,1,0,1,2,2,2,1,0,2,3,0,4,1,2,2,2,3,1,1,3,0,0,1,0,2,0,1,0,1,0,2,2,2,0,0,2,0,3,3,3,7,1,0,1,5,3,1,3,1,1,0,1,2,0,2,1,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,4,1,5,5,6,2,0,1,1,4,3,1,1,0,3,1,1,1,1,0,1,0,1,5,0,1,0,0,5,2
"Connecticut",1,3,7,4,0,0,10,1,1,0,3,0,1,1,0,1,1,0,1,6,0,1,0,1,2,0,1,0,1,1,8,4,1,0,0,2,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,1,0,1,1,0,1,3,0,1,0,1,0,0,0,1,3,1,0,0,1,0,1,0,2,0,0,0,0,0,3,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,5,0,1,1,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,2,2,0,0,3,2,1,1,0,1,3,3,4,1,1,2,1,0,1,1,1,0,3,0,1,1,8,3,3,0,0,1,0,3,1,0,0,0,1,0,2,1,1,0,0,1,0,0,3,5,0,0,2,11,1,0,0,1,1,1,0,1,0,3,3,1,3,0,1,0,1,0,0,0,2,1,0,2,0,2,0,0,1,1,0,0,0,0,1,1,0,2,0,1,0,0,0,2,0,0,0,0,1,0,1,0,1,1,3,0,1,1,0,0,1,1,1,4,0,0,0,1,0,2,1,0,0,1,1,2,2,2,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,4,3,0,0,0,0,0,1,0,1,0,2,1,0,0,2,1,0,0,0,0,0,3,0,1,0,0,2,9,4,15,3,0,2,1,1,3,0,1,0,1,1,0,0,0,0,0,1,2,3,14,19,0,0,0,1,3
"District of Columbia",4,17,20,12,3,6,6,2,3,1,3,3,4,1,3,7,5,1,25,14,1,2,7,4,1,2,2,1,0,5,24,14,6,5,3,12,10,1,1,1,5,1,1,1,3,2,4,3,0,1,2,0,0,4,0,4,7,3,0,1,8,5,9,3,1,1,2,12,4,3,5,2,4,4,2,3,5,11,4,1,4,0,2,0,5,4,2,0,2,7,1,2,3,2,0,0,3,2,1,2,3,2,0,2,4,3,2,15,35,8,0,2,1,2,0,2,3,18,1,0,0,28,9,3,0,6,7,2,8,0,0,7,23,4,0,1,1,1,2,2,2,2,0,0,0,3,3,5,1,3,12,2,0,3,18,15,40,6,3,1,10,10,11,4,2,1,2,6,4,10,5,5,6,1,4,8,20,44,7,2,2,2,7,5,5,2,2,0,1,4,4,4,4,4,2,2,3,0,3,19,2,5,7,43,15,1,3,8,3,13,6,2,5,11,17,2,18,6,7,7,3,3,2,2,12,4,6,10,4,0,6,6,4,12,4,5,3,6,3,4,8,4,1,0,1,1,2,3,1,1,1,3,1,3,2,4,2,3,6,4,2,3,6,1,0,1,4,8,2,1,0,1,2,5,3,5,9,1,3,2,4,1,2,1,2,4,2,3,10,4,0,3,2,3,5,1,1,5,5,2,3,5,4,2,1,3,1,3,6,5,4,1,3,8,7,5,1,3,2,4,6,4,3,4,7,4,1,5,1,3,5,1,1,0,0,9,8,12,119,14,0,5,1,4,52,6,7,1,1,5,2,9,5,3,1,1,2,2,24,14,6,1,0,2,3
"Florida",3,46,48,19,1,4,3,1,3,0,3,2,3,2,3,4,2,3,5,6,6,6,7,6,1,3,0,4,2,2,26,7,5,1,4,16,26,3,3,2,1,3,3,1,6,3,2,2,2,0,4,2,3,3,0,0,4,2,3,3,14,1,4,3,6,1,5,2,3,2,8,5,0,6,4,5,4,9,5,1,2,2,0,0,3,3,4,0,0,6,3,5,1,0,0,2,4,4,1,1,0,3,1,2,1,5,3,1,6,4,0,1,6,5,1,2,3,6,2,6,2,7,5,4,2,4,5,1,2,1,5,0,10,4,5,1,3,2,0,1,1,3,0,1,0,2,3,1,2,2,3,2,0,3,6,7,12,6,3,1,2,7,5,7,3,4,0,15,14,5,3,2,6,0,0,8,16,10,4,3,4,7,4,5,6,3,1,0,2,2,4,5,2,7,10,4,6,4,4,4,1,4,7,20,12,7,7,3,0,3,2,3,5,3,1,7,3,4,2,4,1,0,2,1,8,9,2,2,1,1,4,5,9,5,3,3,2,3,5,2,1,1,2,2,0,1,4,7,5,1,6,0,1,3,1,4,9,8,6,3,4,3,8,0,4,2,6,20,15,2,4,1,2,6,8,11,1,6,4,7,6,1,1,3,2,2,1,3,5,0,1,1,1,1,5,4,1,0,1,2,1,7,2,1,2,4,1,3,4,2,0,0,1,2,2,3,4,2,2,3,1,6,2,6,5,1,0,1,1,1,4,1,1,1,0,0,2,10,75,14,3,1,0,6,15,3,4,5,0,6,8,4,3,2,0,0,10,11,44,12,1,3,1,6,4
"Georgia",4,298,244,30,0,10,3,0,6,1,2,1,5,5,1,5,2,2,14,6,3,4,4,7,4,2,0,3,10,32,27,10,5,5,9,18,199,7,3,1,2,2,1,0,1,2,1,1,3,2,5,1,0,0,1,1,8,6,1,3,21,3,4,3,2,2,1,7,3,1,50,3,4,0,4,0,4,7,5,0,1,1,1,2,12,3,0,2,15,4,0,0,0,1,1,4,2,2,1,0,6,6,2,0,3,1,1,13,16,3,1,1,1,2,2,0,2,9,0,2,1,22,33,12,1,3,5,2,5,4,0,7,19,1,5,2,2,3,0,2,2,1,0,0,0,1,0,1,0,2,8,5,0,3,22,9,12,4,1,0,9,11,5,5,8,1,0,9,3,6,0,4,2,1,7,11,14,29,1,1,0,3,22,12,2,0,1,1,1,3,4,7,5,7,8,2,2,4,3,6,4,2,11,60,14,1,5,3,0,3,6,1,2,3,2,1,2,2,2,4,0,2,0,1,8,7,4,3,4,2,9,2,4,5,6,4,5,0,13,2,3,0,0,0,1,1,1,2,1,3,2,2,0,4,0,2,23,7,0,3,0,3,2,3,1,1,3,31,10,1,2,3,1,1,5,15,5,2,0,0,2,0,2,2,2,1,0,35,6,3,2,3,1,1,3,4,0,3,31,3,8,4,3,3,3,1,1,0,38,6,0,1,1,8,7,2,1,1,5,3,1,1,4,5,2,4,2,0,1,1,1,1,0,1,0,1,5,64,70,4,1,2,0,47,11,1,36,3,2,3,4,6,5,2,0,1,2,11,36,7,0,0,0,3,2
