"","2002-01-01","2002-01-02","2002-01-03","2002-01-04","2002-01-05","2002-01-06","2002-01-07","2002-01-08","2002-01-09","2002-01-10","2002-01-11","2002-01-12","2002-01-13","2002-01-14","2002-01-15","2002-01-16","2002-01-17","2002-01-18","2002-01-19","2002-01-20","2002-01-21","2002-01-22","2002-01-23","2002-01-24","2002-01-25","2002-01-26","2002-01-27","2002-01-28","2002-01-29","2002-01-30","2002-01-31","2002-02-01","2002-02-02","2002-02-03","2002-02-04","2002-02-05","2002-02-06","2002-02-07","2002-02-08","2002-02-09","2002-02-10","2002-02-11","2002-02-12","2002-02-13","2002-02-14","2002-02-15","2002-02-16","2002-02-17","2002-02-18","2002-02-19","2002-02-20","2002-02-21","2002-02-22","2002-02-23","2002-02-24","2002-02-25","2002-02-26","2002-02-27","2002-02-28","2002-03-01","2002-03-02","2002-03-03","2002-03-04","2002-03-05","2002-03-06","2002-03-07","2002-03-08","2002-03-09","2002-03-10","2002-03-11","2002-03-12","2002-03-13","2002-03-14","2002-03-15","2002-03-16","2002-03-17","2002-03-18","2002-03-19","2002-03-20","2002-03-21","2002-03-22","2002-03-23","2002-03-24","2002-03-25","2002-03-26","2002-03-27","2002-03-28","2002-03-29","2002-03-30","2002-03-31","2002-04-01","2002-04-02","2002-04-03","2002-04-04","2002-04-05","2002-04-06","2002-04-07","2002-04-08","2002-04-09","2002-04-10","2002-04-11","2002-04-12","2002-04-13","2002-04-14","2002-04-15","2002-04-16","2002-04-17","2002-04-18","2002-04-19","2002-04-20","2002-04-21","2002-04-22","2002-04-23","2002-04-24","2002-04-25","2002-04-26","2002-04-27","2002-04-28","2002-04-29","2002-04-30","2002-05-01","2002-05-02","2002-05-03","2002-05-04","2002-05-05","2002-05-06","2002-05-07","2002-05-08","2002-05-09","2002-05-10","2002-05-11","2002-05-12","2002-05-13","2002-05-14","2002-05-15","2002-05-16","2002-05-17","2002-05-18","2002-05-19","2002-05-20","2002-05-21","2002-05-22","2002-05-23","2002-05-24","2002-05-25","2002-05-26","2002-05-27","2002-05-28","2002-05-29","2002-05-30","2002-05-31","2002-06-01","2002-06-02","2002-06-03","2002-06-04","2002-06-05","2002-06-06","2002-06-07","2002-06-08","2002-06-09","2002-06-10","2002-06-11","2002-06-12","2002-06-13","2002-06-14","2002-06-15","2002-06-16","2002-06-17","2002-06-18","2002-06-19","2002-06-20","2002-06-21","2002-06-22","2002-06-23","2002-06-24","2002-06-25","2002-06-26","2002-06-27","2002-06-28","2002-06-29","2002-06-30","2002-07-01","2002-07-02","2002-07-03","2002-07-04","2002-07-05","2002-07-06","2002-07-07","2002-07-08","2002-07-09","2002-07-10","2002-07-11","2002-07-12","2002-07-13","2002-07-14","2002-07-15","2002-07-16","2002-07-17","2002-07-18","2002-07-19","2002-07-20","2002-07-21","2002-07-22","2002-07-23","2002-07-24","2002-07-25","2002-07-26","2002-07-27","2002-07-28","2002-07-29","2002-07-30","2002-07-31","2002-08-01","2002-08-02","2002-08-03","2002-08-04","2002-08-05","2002-08-06","2002-08-07","2002-08-08","2002-08-09","2002-08-10","2002-08-11","2002-08-12","2002-08-13","2002-08-14","2002-08-15","2002-08-16","2002-08-17","2002-08-18","2002-08-19","2002-08-20","2002-08-21","2002-08-22","2002-08-23","2002-08-24","2002-08-25","2002-08-26","2002-08-27","2002-08-28","2002-08-29","2002-08-30","2002-08-31","2002-09-01","2002-09-02","2002-09-03","2002-09-04","2002-09-05","2002-09-06","2002-09-07","2002-09-08","2002-09-09","2002-09-10","2002-09-11","2002-09-12","2002-09-13","2002-09-14","2002-09-15","2002-09-16","2002-09-17","2002-09-18","2002-09-19","2002-09-20","2002-09-21","2002-09-22","2002-09-23","2002-09-24","2002-09-25","2002-09-26","2002-09-27","2002-09-28","2002-09-29","2002-09-30","2002-10-01","2002-10-02","2002-10-03","2002-10-04","2002-10-05","2002-10-06","2002-10-07","2002-10-08","2002-10-09","2002-10-10","2002-10-11","2002-10-12","2002-10-13","2002-10-14","2002-10-15","2002-10-16","2002-10-17","2002-10-18","2002-10-19","2002-10-20","2002-10-21","2002-10-22","2002-10-23","2002-10-24","2002-10-25","2002-10-26","2002-10-27","2002-10-28","2002-10-29","2002-10-30","2002-10-31","2002-11-01","2002-11-02","2002-11-03","2002-11-04","2002-11-05","2002-11-06","2002-11-07","2002-11-08","2002-11-09","2002-11-10","2002-11-11","2002-11-12","2002-11-13","2002-11-14","2002-11-15","2002-11-16","2002-11-17","2002-11-18","2002-11-19","2002-11-20","2002-11-21","2002-11-22","2002-11-23","2002-11-24","2002-11-25","2002-11-26","2002-11-27","2002-11-28","2002-11-29","2002-11-30","2002-12-01","2002-12-02","2002-12-03","2002-12-04","2002-12-05","2002-12-06","2002-12-07","2002-12-08","2002-12-09","2002-12-10","2002-12-11","2002-12-12","2002-12-13","2002-12-14","2002-12-15","2002-12-16","2002-12-17","2002-12-18","2002-12-19","2002-12-20","2002-12-21","2002-12-22","2002-12-23","2002-12-24","2002-12-25","2002-12-26","2002-12-27","2002-12-28","2002-12-29","2002-12-30","2002-12-31"
"Alabama",2,10,9,2,0,3,1,0,0,1,1,1,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,3,8,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,1,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,1,0,0,0,3,1,0,1,2,0,1,3,0,0,0,2,3,0,2,2,1,2,2,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,2,5,2,1,2,0,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,1,1,1,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,4,0,1,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,1,0,4,1,0,5,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,3,0
"Alaska",4,1,3,6,10,5,0,6,6,6,4,2,1,8,3,2,5,6,2,2,3,6,6,4,2,0,1,15,0,3,3,6,4,2,10,0,2,3,7,4,7,5,12,17,9,10,7,4,0,8,4,0,8,2,9,6,2,2,1,0,1,0,1,4,11,7,6,5,7,5,10,8,8,11,6,25,3,9,5,6,4,6,2,2,7,6,4,3,4,6,9,10,3,8,9,6,4,7,3,3,7,4,4,4,1,1,1,0,3,0,0,0,4,1,2,2,1,2,7,3,3,0,2,0,6,0,1,3,3,2,2,0,0,1,0,1,8,0,0,0,2,4,4,1,0,2,6,2,1,2,0,5,2,5,6,7,2,8,2,5,2,3,1,1,6,0,5,0,1,1,0,0,10,6,2,4,1,5,4,2,0,3,6,2,7,3,6,5,2,1,2,3,2,4,1,6,4,8,11,3,6,4,8,11,7,8,0,1,0,5,4,1,3,7,2,2,2,1,2,5,6,0,0,2,1,2,9,1,4,0,0,1,3,8,2,4,1,3,3,5,7,5,2,4,2,5,2,1,6,4,0,0,1,4,6,5,0,0,1,0,2,0,4,2,6,6,3,6,7,3,4,3,2,4,9,4,1,8,2,2,1,7,0,1,7,3,3,2,6,9,9,15,6,4,10,10,11,2,3,6,16,11,11,7,2,8,10,2,3,3,5,7,1,2,10,2,4,3,3,9,0,0,0,3,0,9,10,2,0,3,2,0,3,2,9,13,7,12,6,7,6,9,2,5,6,1,0,1,1,1,0,3,1,2,0,1,4,2,0,0,8,4,2,6,7
"Arizona",1,7,13,5,2,3,4,3,4,3,4,4,5,9,7,7,8,4,2,4,4,1,6,9,5,2,7,9,5,10,14,2,0,5,6,12,4,6,0,2,4,5,7,1,0,3,2,5,3,0,2,4,0,2,2,5,7,5,2,5,10,18,14,4,5,1,7,3,2,4,5,4,2,3,5,2,6,9,9,1,1,2,2,3,6,6,2,5,2,0,2,5,3,4,2,2,6,12,7,8,5,1,2,3,15,16,8,4,4,2,3,4,6,8,5,4,3,4,7,5,5,14,4,5,4,17,14,12,4,5,2,4,4,5,15,4,5,0,1,8,5,5,2,1,1,2,1,3,4,5,7,6,3,14,10,9,7,16,3,16,19,18,14,4,6,4,10,7,7,10,4,3,2,3,9,13,14,6,9,6,1,8,10,0,2,1,0,2,10,12,13,7,7,5,34,43,9,4,6,5,2,2,7,13,7,11,11,4,3,13,5,5,1,4,1,2,5,8,8,10,3,18,6,16,20,8,8,9,2,3,19,10,6,4,8,4,4,7,9,19,10,5,4,2,4,5,8,15,20,14,6,11,15,9,12,7,10,4,9,6,2,8,11,6,5,7,13,3,5,4,5,1,6,6,8,8,5,8,8,23,18,15,3,5,3,4,4,9,8,9,12,2,1,17,7,7,15,7,13,6,10,15,9,12,12,11,5,8,10,10,2,9,6,3,4,4,9,7,4,4,7,12,1,1,7,8,4,5,5,8,2,0,0,1,2,5,5,12,22,5,10,11,9,10,13,4,2,4,4,8,5,7,2,3,0,0,5,2,2,8,2,2,2,7,6
"Arkansas",0,7,7,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,7,0,0,1,0,0,1,4,0,0,0,1,9,4,0,1,0,1,0,0,0,2,0,1,0,0,2,0,1,1,0,2,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,2,0,1,1,0,1,1,11,1,0,1,0,2,1,0,1,0,2,0,0,1,0,0,1,1,1,13,2,0,0,1,0,5,0,0,5,1,2,2,0,1,1,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,6,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,2,2,0,0,0,0,0,5,1,2,5,2,0,0,1,0,0,1,0,0,0,0,3,3,1,0,1,1,1,4,2,0,0,0,1,1,0,0,0,3,0,1,3,1,1,2,0,0,0,1,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,1,5,4,0,3,0,2,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,3,4,1,0,2,0,0,0,2,0,0,2,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,2,2,0,0,0,1,0,1,0,1,1,0,1,0,4,2,1,1,2,0,1,14,0
"California",2,11,44,9,3,9,48,16,15,17,22,3,16,31,10,19,15,5,8,9,7,13,13,30,6,7,24,29,16,45,41,9,4,16,29,48,23,26,4,7,8,9,21,5,2,8,6,8,5,14,8,17,4,3,3,17,30,29,14,12,40,15,30,8,19,14,10,18,5,24,33,20,22,13,21,24,27,41,17,4,4,3,0,9,6,18,6,4,2,2,5,23,11,8,4,1,25,13,19,13,18,10,11,11,54,20,7,8,8,9,6,17,17,13,9,12,11,6,14,22,21,22,11,14,2,26,21,21,12,7,12,10,9,13,31,11,17,6,5,27,15,20,11,3,6,8,5,7,16,10,14,7,7,21,43,29,13,14,6,7,34,32,17,15,5,10,11,16,24,20,12,11,9,8,18,26,24,30,16,2,9,24,26,13,12,5,3,5,19,13,35,21,11,19,34,33,11,21,21,13,16,3,18,24,21,22,7,14,4,13,10,16,8,12,4,1,17,26,21,18,9,15,2,22,32,17,11,10,5,3,15,8,12,10,13,4,6,8,24,27,10,5,7,12,4,14,7,26,17,11,5,10,19,15,15,11,5,5,25,23,12,23,11,7,5,19,45,21,15,6,11,6,13,17,13,24,18,18,16,50,44,30,7,12,11,4,7,11,20,14,12,6,4,45,19,19,30,11,17,15,17,32,27,23,19,18,11,18,46,42,36,38,17,4,11,28,24,33,17,21,5,14,15,16,18,3,8,8,24,8,4,0,6,9,6,7,17,24,49,12,13,7,17,21,33,17,24,19,8,52,19,8,25,4,2,10,8,1,12,7,4,5,1,15,2
"Colorado",2,5,8,7,2,1,1,1,3,2,0,1,0,1,2,3,0,0,2,4,5,1,2,2,3,2,2,5,2,12,14,3,0,1,2,15,8,0,3,2,3,2,3,0,1,2,0,2,2,2,1,0,2,1,0,4,2,3,2,4,11,6,2,2,1,0,9,6,2,3,2,2,4,2,0,0,1,11,1,0,0,0,1,0,3,0,1,0,1,1,0,2,1,2,1,0,3,3,1,0,2,2,6,1,4,6,2,0,3,0,2,1,3,2,1,1,2,0,1,2,3,4,2,3,3,4,3,0,2,0,3,3,1,5,4,5,2,2,0,0,1,0,1,1,1,0,1,1,2,1,1,1,0,0,11,5,5,0,0,2,3,14,2,4,1,2,2,2,5,3,2,5,6,1,1,3,4,4,5,0,0,3,3,0,1,0,1,0,0,4,2,5,5,2,4,2,2,1,2,2,1,0,0,14,5,2,3,2,1,2,0,2,0,0,0,0,3,1,1,1,1,5,0,2,6,1,1,1,0,1,3,3,2,7,2,1,1,2,8,6,3,2,1,2,0,1,1,1,1,2,1,2,2,2,2,2,2,0,0,2,0,1,2,2,0,1,2,1,1,2,4,0,1,3,0,3,1,2,2,3,2,0,0,2,1,0,1,1,0,1,0,1,0,2,3,1,3,0,0,0,0,3,2,4,8,3,0,1,5,1,0,1,0,0,1,0,2,1,3,0,0,1,1,1,1,0,1,2,1,0,0,0,0,0,0,3,2,2,9,3,3,0,1,1,5,1,2,1,0,2,1,1,1,1,1,1,0,1,2,2,1,1,0,4,1
"Connecticut",1,4,8,1,0,5,0,2,1,1,2,0,1,0,0,0,2,0,5,2,0,1,0,2,0,0,0,0,1,2,8,3,0,0,0,2,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,1,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,0,0,4,0,1,1,0,1,3,1,3,1,1,1,1,0,1,1,0,2,0,0,2,0,5,4,0,0,0,0,1,3,1,0,0,0,0,2,0,2,0,0,1,0,0,0,2,4,1,0,2,10,1,0,0,1,1,0,1,0,0,3,2,2,2,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,3,1,0,1,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,4,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,11,2,19,1,0,1,1,1,2,0,1,0,1,0,1,0,0,0,1,0,2,3,33,2,0,0,0,1,3
"District of Columbia",5,13,20,12,1,5,2,2,2,0,3,1,3,1,3,5,5,0,39,4,0,2,7,2,2,1,2,1,0,6,21,13,3,2,3,9,13,1,1,0,4,2,1,2,3,2,4,0,0,1,2,1,1,1,1,4,5,2,0,1,7,3,7,4,1,1,1,9,2,2,4,2,4,4,2,2,4,8,4,1,1,1,1,0,6,1,2,0,0,4,0,1,1,1,0,0,2,2,3,1,2,1,0,1,4,1,1,13,41,2,1,4,0,2,2,1,4,15,1,0,0,28,6,2,1,5,6,2,7,0,0,6,22,2,0,2,3,1,1,1,2,2,0,0,0,3,4,3,3,3,5,3,0,3,17,24,26,4,2,1,11,8,9,4,3,0,2,7,3,9,6,7,2,0,4,7,20,48,4,2,1,3,7,3,4,3,1,0,0,5,5,6,4,3,1,2,4,0,5,15,2,3,9,45,12,2,2,8,4,12,5,3,5,7,15,1,19,9,5,5,3,2,2,1,10,7,4,11,2,0,7,4,4,10,5,3,3,6,2,3,7,3,1,0,1,0,5,0,2,3,1,4,1,4,0,4,2,2,3,2,1,6,2,0,0,2,2,2,4,2,0,2,1,4,2,5,8,1,2,3,5,1,1,0,1,2,1,5,8,5,0,1,0,3,2,0,1,4,4,2,1,4,1,3,5,1,2,2,7,4,2,3,1,7,6,3,0,2,2,6,1,3,1,2,7,4,2,2,1,2,5,0,1,0,0,7,6,20,104,13,0,3,1,10,38,5,7,0,0,4,2,9,1,3,0,3,2,4,20,15,4,1,0,5,1
"Florida",2,57,43,5,0,0,3,3,1,0,3,0,2,2,1,4,0,0,6,5,2,5,1,6,1,3,0,3,0,6,16,5,1,3,0,14,29,2,2,2,0,0,1,0,3,0,1,1,1,0,2,2,1,1,0,0,7,3,2,2,11,3,3,2,4,0,4,3,3,3,4,2,1,5,6,4,4,8,2,0,0,1,0,2,2,0,2,0,0,6,1,5,0,0,0,2,5,3,0,0,0,1,1,0,0,3,2,1,6,2,0,1,3,5,1,1,2,7,2,3,3,3,2,3,0,1,3,2,0,0,4,2,8,6,2,0,3,2,1,1,1,0,1,0,0,1,4,1,0,0,5,3,0,1,6,7,9,8,4,0,2,8,1,8,1,4,0,16,7,7,2,3,4,1,0,8,10,14,2,2,4,3,5,1,6,2,0,0,2,4,4,2,1,8,8,2,5,4,3,6,1,4,4,22,7,3,3,1,0,3,2,0,1,5,2,6,3,3,3,1,0,1,1,0,7,4,2,1,2,1,2,6,7,3,1,2,1,3,7,1,0,2,1,5,0,1,4,3,4,0,4,1,0,2,1,5,3,10,5,4,2,4,2,2,1,3,4,24,11,0,2,1,4,4,7,20,0,3,2,5,6,0,2,1,3,0,1,1,4,0,0,1,0,2,4,3,0,0,0,1,2,5,0,1,0,1,0,2,3,1,0,0,1,1,4,1,4,2,1,4,2,6,3,2,5,0,1,0,0,0,3,0,1,1,0,1,1,14,79,8,1,3,0,4,17,1,3,4,1,6,5,2,2,2,0,1,9,7,33,27,0,2,0,6,5
"Georgia",4,237,273,69,5,8,12,3,7,1,2,2,6,4,1,5,5,1,14,7,3,6,5,7,5,2,2,4,7,28,32,15,7,6,10,49,172,8,2,3,4,5,4,3,1,4,4,0,4,1,8,1,2,2,1,1,7,3,6,3,24,8,7,2,2,0,1,4,9,1,49,3,7,4,3,1,6,12,3,3,3,2,2,2,17,3,1,3,15,10,1,1,0,3,0,4,4,4,2,1,7,8,2,1,4,3,2,14,14,10,1,3,2,2,3,0,5,10,3,2,2,18,32,15,6,4,12,6,4,4,5,4,21,2,6,2,3,4,2,3,2,0,1,0,1,2,0,6,2,2,8,9,1,4,20,15,12,7,1,0,9,10,10,4,9,3,0,9,10,5,2,4,2,1,7,17,17,24,8,2,2,6,15,18,2,2,2,1,2,2,6,3,6,8,9,5,4,5,3,9,3,2,8,44,41,4,7,5,2,2,6,1,3,3,2,4,2,4,2,4,1,4,1,1,9,7,4,4,5,4,10,5,2,7,6,4,8,4,9,3,5,0,2,1,2,1,3,4,3,3,1,2,2,3,0,3,28,6,0,5,1,3,5,4,2,2,4,23,19,1,3,1,1,1,3,21,7,5,2,1,4,0,3,2,4,2,0,33,8,2,4,3,1,1,2,5,1,2,32,1,7,8,5,5,2,3,3,0,38,9,1,0,2,9,7,3,3,2,4,3,1,2,4,5,7,3,2,1,2,2,3,2,2,2,0,3,4,75,73,8,0,2,0,48,18,4,39,5,3,4,3,7,7,3,1,0,4,8,26,22,0,0,0,6,1
