"state","min","mean","max"
"Alabama",-87,4.43186332936035,1245
"Alaska",-66,7.42908276371698,919
"Arizona",-76,6.95684363257562,1162
"Arkansas",-31,3.6779248373246,987
"California",-630,5.24539252107932,1505
"Colorado",-25,4.56816421675753,1319
"Connecticut",-31,3.41463717308349,902
"District of Columbia",-83,2.84555307905238,1365
"Florida",-1370,5.36417844522968,1330
"Georgia",-30,7.44505621934564,1356
"Hawaii",-31,3.68197056650946,1731
"Idaho",-26,4.08219679633867,531
"Illinois",-31,7.20600219942517,1433
"Indiana",-31,4.04382239382239,1180
"Iowa",-28,1.64804869316148,844
"Kansas",-20,2.32166508987701,1355
"Kentucky",-32,5.76934178650585,1246
"Louisiana",-30,4.4967442504849,875
"Maine",-30,4.96100416749355,441
"Maryland",-52,9.00648296323985,1279
"Massachusetts",-44,5.03535059917859,1952
"Michigan",-25,7.96966184676382,1307
"Minnesota",-28,5.23345575448993,1237
"Mississippi",-34,5.47645252111595,1211
"Missouri",-37,4.31578561516508,1150
"Montana",-35,0.66613290632506,1497
"Nebraska",-23,3.59025229357798,1003
"Nevada",-712,7.2450633043297,1220
"New Hampshire",-26,5.22411385249717,573
"New Jersey",-981,3.73937232524964,1141
"New Mexico",-38,5.76147426981919,1313
"New York",-46,4.90296141043028,1544
"North Carolina",-65,5.32939835642733,2119
"North Dakota",-27,-1.16082224909311,886
"Ohio",-52,4.73362924142357,1200
"Oklahoma",-65,3.6092345312013,1255
"Oregon",-19,4.88582797090965,1074
"Pennsylvania",-60,5.29514412244581,1237
"Rhode Island",-23,4.71978144513827,1402
"South Carolina",-32,2.23296818727491,436
"South Dakota",-25,0.625489605302802,982
"Tennessee",-54,5.6192593321202,1143
"Texas",-1005,5.4234927592955,1246
"Utah",-65,5.10139997383226,1319
"Vermont",-21,1.74540594721016,458
"Virginia",-27,3.88651336233686,1204
"Washington",-25,6.03022132044745,1255
"Wisconsin",-51,2.24189977120083,1089
"Wyoming",-26,13.0159027128157,1249
