"state","mean_dist"
"Alabama",659.506354249404
"Alaska",1211.64878138763
"Arizona",1399.80014909081
"Arkansas",577.008040645019
"California",1458.53207576929
"Colorado",1427.69517266733
"Connecticut",1182.62510061297
"District of Columbia",1262.52962231991
"Florida",1329.91255232596
"Georgia",1102.87299866183
"Hawaii",4556.00045387496
"Idaho",907.221359400694
"Illinois",1186.50179472784
"Indiana",769.724075297226
"Iowa",590.364947864591
"Kansas",618.854552323385
"Kentucky",651.170097786927
"Louisiana",954.004941599281
"Maine",666.387106328364
"Maryland",1089.73160208496
"Massachusetts",1297.86037980147
"Michigan",922.001705132512
"Minnesota",1289.27811858093
"Mississippi",717.336570406338
"Missouri",1099.98511526118
"Montana",922.449618768328
"Nebraska",892.817614384699
"Nevada",1269.94773439838
"New Hampshire",1034.19410710731
"New Jersey",1767.23984518232
"New Mexico",1011.77073482784
"New York",1245.25251030755
"North Carolina",845.278364496076
"North Dakota",506.127304048234
"Ohio",1075.6232773766
"Oklahoma",662.467609882218
"Oregon",1493.91919864538
"Pennsylvania",1135.57059594552
"Rhode Island",1030.38555782439
"South Carolina",479.958015267176
"South Dakota",494.350977443609
"Tennessee",993.231380025354
"Texas",1084.38696028811
"Utah",1374.99120799536
"Vermont",837.490522115065
"Virginia",807.076336351234
"Washington",1763.32237428276
"Wisconsin",555.70660335689
"Wyoming",1094.65759849906
