"state","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","Wisconsin","Wyoming"
"1","1930","3201","15028","1937","50965","10488","2672","8741","27832","19282","1373","917","29157","3038","1266","526","1744","4996","785","7070","8680","12510","11163","658","16753","742","1388","12582","1251","8123","2966","16155","14395","450","12997","3511","4273","17411","2116","1159","205","8387","53101","5950","214","2761","8466","2253","121"
"2","1731","2870","13889","1763","46949","9824","2462","8144","26519","17858","1315","799","27035","2745","1088","490","1621","4647","732","6467","8039","11786","10451","610","15142","696","1275","11549","1143","7513","2739","14807","13289","418","11787","3193","3918","15765","1971","1032","206","7666","48242","5416","192","2566","7969","2054","114"
"3","1881","3193","16234","1897","52692","11196","2753","9368","30150","20156","1519","834","29974","2982","1132","464","1770","5104","851","7196","8915","13248","11690","670","16411","773","1413","13052","1257","8484","3019","16688","14715","462","13035","3479","4401","17044","2232","1168","232","8452","54014","5975","215","2764","8990","2241","129"
"4","1848","3176","15827","1885","52383","10742","2713","9136","28076","19654","1426","836","30571","2927","1169","465","1773","4872","895","7262","9105","13077","11429","646","16131","694","1420","12761","1212","8395","3045","16740","14220","453","12762","3464","4382","16228","2241","1177","248","8256","53069","5705","209","2735","9014","2143","13"
"5","1929","3713","16118","1936","54111","11145","2790","9570","27266","20095","1464","900","31950","3049","1209","475","1815","4885","914","7485","9192","13521","12064","609","16600","706","1515","13130","1237","8411","3160","17419","14572","510","12824","3590","4519","16606","2326","1221","305","8436","54569","5816","274","2819","9680","2302",NA
"6","1934","4473","15869","1946","53677","11443","2748","9212","26529","19913","1482","951","31730","3080","1129","405","1599","4717","901","7301","8932","13529","12355","610","16284","726","1498","12836","1264","8107","3075","17076","14267","496","12480","3512","4496","16139","2302","1157","338","8722","53465","5723","267","2757","10105","2247","77"
"7","2011","4848","16189","1941","56066","12002","2857","9607","27077","20306","1549","975","33937","3246","1191","404","1628","4855","1034","7544","9408","14251","13206","631","16972","797","1554","13130","1308","8482","3161","17940","14826","514","13008","3631","4747","16806","2408","1180","329","8991","55292","5880","270","2880","10817","2418","162"
"8","2029","4879","16391","1950","56282","11947","2876","9728","27092","20520","1573","987","34042","3250","1200","411","1623","4866","1015","7580","9537","14484","13258","635","16495","800","1567","13246","1321","8636","3198","18004","14989","510","13075","3566","4753","16991","2436","1183","342","9100","55535","5925","274","2883","10837","2403","173"
"9","1812","3666","15516","1850","52788","10495","2589","9160","24851","18539","1428","934","32377","3005","1182","401","1559","4615","831","7030","8844","12902","11889","654","15288","651","1407","12804","1233","7946","2934","16884","13680","455","11880","3387","4316","15686","2189","1034","316","8376","52505","5551","268","2679","9552","2275","130"
"10","1921","3244","16179","1921","54733","10716","2719","10058","25070","19548","1468","974","34118","3111","1222","421","1502","4855","768","7279","9392","13435","12502","689","16034","684","1490","13299","1346","8438","3006","17969","13476","490","12468","3590","4446","15596","2322","1066","299","8713","54983","5755","277","2617","9485","2341","6"
"11","1774","2950","15334","1791","50843","9704","2519","9301","24700","18341","1458","907","30559","2889","1113","403","1371","4676","666","6617","8370","12580","11753","661","14495","701","1434","12528","1234","7798","2788","16780","12376","503","11449","3372","4062","14498","2174","997","259","8129","51332","5413","258","2379","8521","2198",NA
"12","1853","3091","15579","1774","52426","10711","2535","9243","26326","18626","1544","911","31012","2938","1064","420","1396","4656","686","6778","8232","12564","12006","741","14360","773","1479","12627","1231","7807","2859","16313","11905","528","11831","3418","4213","14295","2187","954","240","8437","52643","5678","275","2340","8935","2223","144"
