"state","cancellations"
,
"Alabama",234
"Alaska",1459
"Arizona",2356
"Arkansas",315
"California",5575
"Colorado",747
"Connecticut",321
"District of Columbia",1658
"Florida",1286
"Georgia",3003
"Hawaii",18
"Idaho",38
"Illinois",7887
"Indiana",527
"Iowa",275
"Kansas",74
"Kentucky",155
"Louisiana",545
"Maine",258
"Maryland",628
"Massachusetts",2236
"Michigan",2816
"Minnesota",2041
"Mississippi",80
"Missouri",1933
"Montana",38
"Nebraska",119
"Nevada",813
"New Hampshire",142
"New Jersey",1325
"New Mexico",282
"New York",3772
"North Carolina",2097
"North Dakota",62
"Ohio",2019
"Oklahoma",525
"Oregon",391
"Pennsylvania",3038
"Rhode Island",211
"South Carolina",169
"South Dakota",31
"Tennessee",944
"Texas",9626
"Utah",407
"Vermont",17
"Virginia",469
"Washington",1240
"Wisconsin",649
"Wyoming",17
