State,Cancelations0,Cancelations1
Alabama,0,0
Alaska,0.0388349514563107,0.09
Arizona,0.0431177446102819,0.0514096185737977
Arkansas,0.0379746835443038,0.0253164556962025
California,0.0932594644506002,0.0761421319796954
Colorado,0.0526315789473684,0.0434782608695652
Connecticut,0.757281553398058,0.509803921568627
District of Columbia,0.23953488372093,0.20979020979021
Florida,0.151223776223776,0.107111501316945
Georgia,0.152054794520548,0.105335157318741
Hawaii,0,0.0509259259259259
Idaho,0,0
Illinois,0.128360797918474,0.119791666666667
Indiana,0.047244094488189,0.031496062992126
Iowa,0,0.0196078431372549
Kansas,0,0
Kentucky,0.0142857142857143,0.0142857142857143
Louisiana,0.0253807106598985,0.0152284263959391
Maine,0.944444444444444,1
Maryland,0.109154929577465,0.105633802816901
Massachusetts,0.91,0.73
Michigan,0.11623246492986,0.0841683366733467
Minnesota,0.0547619047619048,0.0595238095238095
Mississippi,0,0
Missouri,0.042042042042042,0.0569715142428786
Montana,0,0
Nebraska,0,0
Nevada,0.021551724137931,0.0301724137931034
New Hampshire,0.727272727272727,0.522727272727273
New Jersey,0.602739726027397,0.266483516483516
New Mexico,0,0
New York,0.701492537313433,0.342039800995025
North Carolina,0.101338432122371,0.0898661567877629
North Dakota,0,0
Ohio,0.133595284872299,0.135559921414538
Oklahoma,0,0.0072463768115942
Oregon,0.0598802395209581,0.0179640718562874
Pennsylvania,0.229555236728838,0.186513629842181
Rhode Island,0.670588235294118,0.423529411764706
South Carolina,0.0172413793103448,0
South Dakota,0.166666666666667,0
Tennessee,0.0507042253521127,0.0563380281690141
Texas,0.0542082738944365,0.039103481163567
Utah,0.0504587155963303,0.0410958904109589
Vermont,0.923076923076923,1
Virginia,0.15929203539823,0.149122807017544
Washington,0.0280373831775701,0.0342679127725857
West Virginia,0,0
Wisconsin,0.0111111111111111,0
Wyoming,0,0
