"State","min","mean","max"
"Alabama",-62,5.30494290921263,654
"Alaska",-61,10.0024642102793,509
"Arizona",-212,5.50494033690318,677
"Arkansas",-72,6.13296310987703,386
"California",-87,6.4521516589018,1297
"Colorado",-84,6.31963826136689,714
"Connecticut",-62,5.66132422490804,387
"Delaware",0,0,0
"District of Columbia",-56,3.49267799767906,692
"Florida",-953,6.08519354750959,1361
"Georgia",-65,5.07876281758213,700
"Hawaii",-67,4.77016756433274,1191
"Idaho",-52,6.79778697525129,344
"Illinois",-67,7.3062331347351,1277
"Indiana",-55,6.40216329545184,765
"Iowa",-49,7.34503522610947,392
"Kansas",-43,6.28415084388186,351
"Kentucky",-60,4.86479949077021,318
"Louisiana",-60,5.80442171567557,722
"Maine",-81,8.82028939163802,402
"Maryland",-70,5.79857756307032,496
"Massachusetts",-61,5.7102063709398,620
"Michigan",-62,2.73330096792791,1597
"Minnesota",-61,2.16103068740935,1688
"Mississippi",-34,6.4586751435603,517
"Missouri",-1116,4.26255050869471,560
"Montana",-57,4.08617370626203,381
"Nebraska",-37,7.03670145075083,731
"Nevada",-75,6.12768626561013,703
"New Hampshire",-47,5.39136024685009,415
"New Jersey",-76,6.42263221077905,842
"New Mexico",-60,5.33537958999775,671
"New York",-71,6.82241404293196,1260
"North Carolina",-56,3.29772855791142,677
"North Dakota",-29,5.40816762882189,668
"Ohio",-63,3.72495130924042,630
"Oklahoma",-37,6.96868595605897,368
"Oregon",-72,6.77195919158459,782
"Pennsylvania",-57,5.58990051874568,880
"Rhode Island",-47,5.60320892919428,1037
"South Carolina",-52,5.06500559016132,446
"South Dakota",-35,2.97776726584674,809
"Tennessee",-55,2.9702984804475,1473
"Texas",-76,4.56266639195285,1425
"Utah",-62,4.95871777154548,875
"Vermont",-36,11.2336538461538,302
"Virginia",-48,5.67190093890325,502
"Washington",-71,10.139075257366,1110
"West Virginia",-22,2.15011820330969,247
"Wisconsin",-38,6.9013151009872,665
"Wyoming",-52,14.2984693877551,591
