State,mean
Alabama,621.30613608523
Alaska,1233.07519130272
Arizona,1331.60908944042
Arkansas,559.416792079208
California,1420.7750144331
Colorado,1418.99285373309
Connecticut,1217.19208018882
Delaware,0
District of Columbia,1215.16132303918
Florida,1297.85751163132
Georgia,1083.45957138083
Hawaii,1351.37094410718
Idaho,844.209215967592
Illinois,1153.59190632868
Indiana,754.844323912837
Iowa,529.473282442748
Kansas,704.120210664911
Kentucky,641.333361601085
Louisiana,907.88012255245
Maine,656.08324031255
Maryland,1105.18403396853
Massachusetts,1297.3867529282
Michigan,915.252958104874
Minnesota,1284.83680964197
Mississippi,644.62767372838
Missouri,1068.9807318478
Montana,902.883734055762
Nebraska,860.648965902739
Nevada,1226.65813801181
New Hampshire,898.426635844089
New Jersey,1735.58051598621
New Mexico,1012.28357663207
New York,1175.36913902317
North Carolina,818.877558667591
North Dakota,529.57310565635
Ohio,1042.13423362836
Oklahoma,641.249851488416
Oregon,1488.24648854156
Pennsylvania,1075.74597998771
Rhode Island,957.270538638422
South Carolina,456.545043367211
South Dakota,563.941176470588
Tennessee,975.402534498778
Texas,1068.21974248046
Utah,1347.40171402309
Vermont,600.350636866138
Virginia,742.182502377394
Washington,1733.74574034715
West Virginia,266.014184397163
Wisconsin,572.729974565346
Wyoming,1156.95431472081
