state,cancellations
,
Alabama,743
Alaska,2337
Arizona,6076
Arkansas,316
California,23309
Colorado,4823
Connecticut,1015
District of Columbia,7751
Florida,6205
Georgia,10161
Hawaii,324
Idaho,135
Illinois,21501
Indiana,1009
Iowa,531
Kansas,269
Kentucky,550
Louisiana,872
Maine,227
Maryland,1865
Massachusetts,7473
Michigan,5719
Minnesota,4762
Mississippi,151
Missouri,4986
Montana,122
Nebraska,343
Nevada,2614
New Hampshire,285
New Jersey,6291
New Mexico,457
New York,11946
North Carolina,6177
North Dakota,96
Ohio,5294
Oklahoma,709
Oregon,1486
Pennsylvania,10229
Rhode Island,545
South Carolina,958
South Dakota,72
Tennessee,2373
Texas,15768
Utah,1658
Vermont,103
Virginia,1533
Washington,3614
West Virginia,43
Wisconsin,737
Wyoming,17
