State,Cancelations 
Alabama,858
Alaska,1633
Arizona,5251
Arkansas,1118
California,28028
Colorado,5794
Connecticut,1289
District of Columbia,10126
Florida,10243
Georgia,9903
Hawaii,1656
Idaho,247
Illinois,20292
Indiana,1609
Iowa,964
Kansas,306
Kentucky,576
Louisiana,1642
Maine,1063
Maryland,2429
Massachusetts,10756
Michigan,6157
Minnesota,5004
Mississippi,247
Missouri,5848
Montana,182
Nebraska,510
Nevada,3468
New Hampshire,563
New Jersey,6385
New Mexico,715
New York,17671
North Carolina,7020
North Dakota,114
Ohio,6347
Oklahoma,1551
Oregon,1647
Pennsylvania,10874
Rhode Island,1135
South Carolina,961
South Dakota,120
Tennessee,3284
Texas,24922
Utah,1915
Vermont,288
Virginia,1799
Washington,3532
West Virginia,58
Wisconsin,1376
Wyoming,29
